GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15082165;Jeßnitz (Anhalt);-;-;-;-;-;-;-;-;-;-;-
15082170;Jütrichau;-;-;-;-;-;-;-;-;-;-;-
15082175;Kleinpaschleben;-;-;-;-;-;-;-;-;-;-;-
15082180;Köthen (Anhalt), Stadt;5622;1670;1699;862;244;126;294;372;165;153;37
15082185;Krina;-;-;-;-;-;-;-;-;-;-;-
15082190;Leps;-;-;-;-;-;-;-;-;-;-;-
15082195;Libbesdorf;-;-;-;-;-;-;-;-;-;-;-
15082200;Libehna;-;-;-;-;-;-;-;-;-;-;-
15082205;Lindau;-;-;-;-;-;-;-;-;-;-;-
15082210;Maasdorf;-;-;-;-;-;-;-;-;-;-;-
15082215;Marke;-;-;-;-;-;-;-;-;-;-;-
15082220;Meilendorf;-;-;-;-;-;-;-;-;-;-;-
15082225;Micheln;-;-;-;-;-;-;-;-;-;-;-
15082230;Moritz;-;-;-;-;-;-;-;-;-;-;-
15082235;Mühlbeck;-;-;-;-;-;-;-;-;-;-;-
15082240;Muldenstein;-;-;-;-;-;-;-;-;-;-;-
15082241;Muldestausee;4345;766;1535;810;262;120;196;339;167;108;42
15082245;Nedlitz b. Zerbst;-;-;-;-;-;-;-;-;-;-;-
15082250;Nutha;-;-;-;-;-;-;-;-;-;-;-
15082255;Osternienburg;-;-;-;-;-;-;-;-;-;-;-
15082256;Osternienburger Land;3274;1253;675;519;192;109;180;228;80;22;16
15082260;Petersroda;-;-;-;-;-;-;-;-;-;-;-
15082265;Piethen;-;-;-;-;-;-;-;-;-;-;-
15082270;Plodda;-;-;-;-;-;-;-;-;-;-;-
15082275;Polenzko;-;-;-;-;-;-;-;-;-;-;-
15082280;Pouch;-;-;-;-;-;-;-;-;-;-;-
15082285;Prosigk;-;-;-;-;-;-;-;-;-;-;-
15082290;Quellendorf;-;-;-;-;-;-;-;-;-;-;-
15082295;Radegast b. Köthen, Anh;-;-;-;-;-;-;-;-;-;-;-
15082300;Raguhn;-;-;-;-;-;-;-;-;-;-;-
15082301;Raguhn-Jeßnitz, Stadt;3426;880;1401;464;112;44;140;230;91;35;29
15082305;Reppichau;-;-;-;-;-;-;-;-;-;-;-
15082310;Retzau;-;-;-;-;-;-;-;-;-;-;-
15082315;Reuden/Anhalt;-;-;-;-;-;-;-;-;-;-;-
15082320;Reupzig;-;-;-;-;-;-;-;-;-;-;-
15082325;Riesdorf;-;-;-;-;-;-;-;-;-;-;-
15082330;Roitzsch;-;-;-;-;-;-;-;-;-;-;-
15082335;Rösa;-;-;-;-;-;-;-;-;-;-;-
15082340;Sandersdorf-Brehna, Stadt;4520;877;1829;698;155;63;315;314;160;92;17
15082345;Scheuder;-;-;-;-;-;-;-;-;-;-;-
15082350;Schierau;-;-;-;-;-;-;-;-;-;-;-
15082355;Schlaitz;-;-;-;-;-;-;-;-;-;-;-
15082360;Schortewitz;-;-;-;-;-;-;-;-;-;-;-
15082365;Schwemsal;-;-;-;-;-;-;-;-;-;-;-
15082370;Steutz;-;-;-;-;-;-;-;-;-;-;-
15082375;Straguth;-;-;-;-;-;-;-;-;-;-;-
15082377;Südliches Anhalt, Stadt;4971;1673;1156;945;313;136;211;330;128;62;17
15082380;Thurland;-;-;-;-;-;-;-;-;-;-;-
15082385;Tornau vor der Heide;-;-;-;-;-;-;-;-;-;-;-
15082390;Trebbichau an der Fuhne;-;-;-;-;-;-;-;-;-;-;-
15082395;Trinum;-;-;-;-;-;-;-;-;-;-;-
15082400;Walternienburg;-;-;-;-;-;-;-;-;-;-;-
15082405;Weißandt-Gölzau;-;-;-;-;-;-;-;-;-;-;-
15082410;Wieskau;-;-;-;-;-;-;-;-;-;-;-
15082415;Wulfen;-;-;-;-;-;-;-;-;-;-;-
15082420;Zabitz;-;-;-;-;-;-;-;-;-;-;-
15082425;Zehbitz;-;-;-;-;-;-;-;-;-;-;-
15082430;Zerbst/Anhalt, Stadt;6297;1998;1641;1274;347;132;322;368;134;50;31
15082435;Zernitz;-;-;-;-;-;-;-;-;-;-;-
15082440;Zörbig, Stadt;3310;1062;638;678;162;93;140;304;125;79;29
15083005;Ackendorf;-;-;-;-;-;-;-;-;-;-;-
15083010;Alleringersleben;-;-;-;-;-;-;-;-;-;-;-
15083015;Altbrandsleben;-;-;-;-;-;-;-;-;-;-;-
15083020;Altenhausen;455;176;107;62;24;9;42;23;12;-;-
15083025;Am Großen Bruch;857;473;124;63;51;25;27;43;22;25;4
15083030;Angern;743;266;159;132;35;27;33;32;40;13;6
15083035;Ausleben;596;316;79;92;23;6;20;19;32;9;-
15083040;Barleben;2733;468;387;223;111;62;246;882;185;129;40
15083045;Barneberg;-;-;-;-;-;-;-;-;-;-;-
15083050;Bartensleben;-;-;-;-;-;-;-;-;-;-;-
15083055;Bebertal;-;-;-;-;-;-;-;-;-;-;-
15083060;Beendorf;294;111;58;27;-;3;19;29;35;12;-
15083065;Behnsdorf;-;-;-;-;-;-;-;-;-;-;-
15083070;Belsdorf;-;-;-;-;-;-;-;-;-;-;-
15083075;Berenbrock;-;-;-;-;-;-;-;-;-;-;-
15083080;Bertingen;-;-;-;-;-;-;-;-;-;-;-
15083085;Böddensell;-;-;-;-;-;-;-;-;-;-;-
15083090;Born;-;-;-;-;-;-;-;-;-;-;-
15083095;Bornstedt b. Haldensleben;-;-;-;-;-;-;-;-;-;-;-
15083100;Bösdorf b. Haldensleben;-;-;-;-;-;-;-;-;-;-;-
15083105;Bottmersdorf;-;-;-;-;-;-;-;-;-;-;-
15083110;Bregenstedt;-;-;-;-;-;-;-;-;-;-;-
15083115;Bülstringen;306;95;43;39;32;20;20;40;6;11;-
15083120;Burgstall;613;240;137;60;46;23;24;57;19;4;3
15083125;Calvörde;1197;455;208;135;113;65;82;84;22;27;6
15083130;Colbitz;1289;302;210;223;106;27;123;173;56;50;19
15083135;Cröchern;-;-;-;-;-;-;-;-;-;-;-
15083140;Döhren;-;-;-;-;-;-;-;-;-;-;-
15083145;Dolle;-;-;-;-;-;-;-;-;-;-;-
15083150;Domersleben;-;-;-;-;-;-;-;-;-;-;-
15083155;Dorst;-;-;-;-;-;-;-;-;-;-;-
15083160;Drackenstedt;-;-;-;-;-;-;-;-;-;-;-
15083165;Dreileben;-;-;-;-;-;-;-;-;-;-;-
15083170;Druxberge;-;-;-;-;-;-;-;-;-;-;-
15083175;Eggenstedt;-;-;-;-;-;-;-;-;-;-;-
15083180;Eichenbarleben;-;-;-;-;-;-;-;-;-;-;-
15083185;Eickendorf b. Haldensleben;-;-;-;-;-;-;-;-;-;-;-
15083190;Eilsleben;1251;540;241;125;61;34;47;112;44;40;7
15083195;Eimersleben;-;-;-;-;-;-;-;-;-;-;-
15083200;Emden;-;-;-;-;-;-;-;-;-;-;-
15083205;Erxleben;1115;436;171;178;63;42;60;76;46;16;27
15083210;Eschenrode;-;-;-;-;-;-;-;-;-;-;-
15083215;Etingen;-;-;-;-;-;-;-;-;-;-;-
15083220;Everingen;-;-;-;-;-;-;-;-;-;-;-
15083225;Farsleben;-;-;-;-;-;-;-;-;-;-;-
15083230;Flechtingen;954;257;138;192;67;18;117;90;31;38;6
15083235;Glindenberg;-;-;-;-;-;-;-;-;-;-;-
15083240;Grauingen;-;-;-;-;-;-;-;-;-;-;-
15083245;Gröningen, Stadt;1339;572;276;186;53;41;101;68;31;11;-
15083250;Groß Rodensleben;-;-;-;-;-;-;-;-;-;-;-
15083255;Groß Santersleben;-;-;-;-;-;-;-;-;-;-;-
15083260;Hadmersleben;-;-;-;-;-;-;-;-;-;-;-
15083265;Hakenstedt;-;-;-;-;-;-;-;-;-;-;-
15083270;Haldensleben, Stadt;4332;1184;917;674;350;126;257;457;193;127;47
15083275;Harbke;409;92;94;136;9;-;9;40;20;9;-
15083280;Heinrichsberg;-;-;-;-;-;-;-;-;-;-;-
15083285;Hermsdorf b. Wolmirstedt;-;-;-;-;-;-;-;-;-;-;-
15083290;Hillersleben;-;-;-;-;-;-;-;-;-;-;-
15083295;Hödingen;-;-;-;-;-;-;-;-;-;-;-
15083298;Hohe Börde;5891;1727;719;511;215;107;957;1121;287;157;90
15083300;Hohendodeleben;-;-;-;-;-;-;-;-;-;-;-
15083305;Hohenwarsleben;-;-;-;-;-;-;-;-;-;-;-
15083310;Hornhausen;-;-;-;-;-;-;-;-;-;-;-
15083315;Hörsingen;-;-;-;-;-;-;-;-;-;-;-
15083320;Hötensleben;1210;584;249;146;75;15;32;62;32;15;-
15083323;Ingersleben;512;234;118;64;10;9;21;25;18;10;3
15083325;Irxleben;-;-;-;-;-;-;-;-;-;-;-
15083330;Ivenrode;-;-;-;-;-;-;-;-;-;-;-
15083335;Kathendorf;-;-;-;-;-;-;-;-;-;-;-
15083340;Klein Rodensleben;-;-;-;-;-;-;-;-;-;-;-
15083345;Klein Wanzleben, Zuckerdorf;-;-;-;-;-;-;-;-;-;-;-
15083350;Klüden;-;-;-;-;-;-;-;-;-;-;-
15083355;Kroppenstedt, Stadt;580;334;88;57;29;15;10;22;10;12;3
15083360;Loitsche;-;-;-;-;-;-;-;-;-;-;-
15083361;Loitsche-Heinrichsberg;383;129;93;68;22;4;11;27;6;23;-
15083365;Mahlwinkel;-;-;-;-;-;-;-;-;-;-;-
15083370;Mannhausen;-;-;-;-;-;-;-;-;-;-;-
15083375;Marienborn;-;-;-;-;-;-;-;-;-;-;-
15083380;Morsleben;-;-;-;-;-;-;-;-;-;-;-
15083385;Neuenhofe;-;-;-;-;-;-;-;-;-;-;-
15083390;Niedere Börde;2441;768;329;279;154;55;176;400;198;55;27
15083395;Niederndodeleben;-;-;-;-;-;-;-;-;-;-;-
15083400;Nordgermersleben;-;-;-;-;-;-;-;-;-;-;-
15083405;Ochtmersleben;-;-;-;-;-;-;-;-;-;-;-
15083410;Oebisfelde;-;-;-;-;-;-;-;-;-;-;-
15083411;Oebisfelde-Weferlingen, Stadt;4320;1514;922;623;183;101;334;289;187;118;49
15083415;Oschersleben (Bode), Stadt;5442;1477;1482;943;302;200;329;376;227;83;23
15083420;Ostingersleben;-;-;-;-;-;-;-;-;-;-;-
15083425;Ovelgünne;-;-;-;-;-;-;-;-;-;-;-
15083430;Peseckendorf;-;-;-;-;-;-;-;-;-;-;-
15083435;Rätzlingen b. Haldensleben;-;-;-;-;-;-;-;-;-;-;-
15083440;Rogätz;792;243;143;164;43;35;48;36;47;23;10
15083445;Rottmersleben;-;-;-;-;-;-;-;-;-;-;-
15083450;Sandbeiendorf;-;-;-;-;-;-;-;-;-;-;-
15083455;Schackensleben;-;-;-;-;-;-;-;-;-;-;-
15083460;Schermcke;-;-;-;-;-;-;-;-;-;-;-
15083465;Schwanefeld;-;-;-;-;-;-;-;-;-;-;-
15083470;Seehausen;-;-;-;-;-;-;-;-;-;-;-
15083475;Seggerde;-;-;-;-;-;-;-;-;-;-;-
15083480;Siestedt;-;-;-;-;-;-;-;-;-;-;-
15083485;Sommersdorf;556;203;116;72;22;15;25;50;40;7;6
15083490;Sülzetal;3024;833;459;349;143;72;377;504;182;80;25
15083495;Süplingen;316;67;57;43;30;6;33;56;11;9;4
15083500;Uhrsleben;-;-;-;-;-;-;-;-;-;-;-
15083505;Ummendorf;324;154;81;15;10;3;13;18;18;3;9
15083510;Velsdorf;-;-;-;-;-;-;-;-;-;-;-
15083515;Völpke;477;168;123;82;32;9;10;30;14;3;6
15083520;Wackersleben;-;-;-;-;-;-;-;-;-;-;-
15083525;Walbeck b. Haldersleben;-;-;-;-;-;-;-;-;-;-;-
15083530;Wanzleben;-;-;-;-;-;-;-;-;-;-;-
15083531;Wanzleben-Börde, Stadt;4570;1655;802;627;282;104;279;472;217;95;37
15083535;Wefensleben;522;151;77;95;18;21;39;73;35;10;3
15083540;Weferlingen;-;-;-;-;-;-;-;-;-;-;-
15083545;Wegenstedt;-;-;-;-;-;-;-;-;-;-;-
15083550;Wellen;-;-;-;-;-;-;-;-;-;-;-
15083555;Wenddorf;-;-;-;-;-;-;-;-;-;-;-
15083557;Westheide;666;188;216;69;26;29;32;55;42;6;3
15083560;Wieglitz;-;-;-;-;-;-;-;-;-;-;-
15083565;Wolmirstedt, Stadt;2821;397;484;446;252;110;229;611;175;79;38
15083570;Wormsdorf;-;-;-;-;-;-;-;-;-;-;-
15083575;Wulferstedt;-;-;-;-;-;-;-;-;-;-;-
15083580;Zielitz;530;65;40;70;89;13;70;68;42;70;3
15083585;Zobbenitz;-;-;-;-;-;-;-;-;-;-;-
15084005;Abtlöbnitz;-;-;-;-;-;-;-;-;-;-;-
15084010;Altenroda;-;-;-;-;-;-;-;-;-;-;-
15084012;An der Poststraße;614;280;84;136;41;28;15;13;3;7;7
15084013;Meineweh;357;120;50;94;24;12;10;14;13;13;7
15084015;Bad Bibra, Stadt;940;405;106;179;105;24;51;47;17;3;3
15084020;Bad Kösen;-;-;-;-;-;-;-;-;-;-;-
15084025;Balgstädt;396;183;53;84;34;3;13;15;-;7;4
15084030;Baumersroda;-;-;-;-;-;-;-;-;-;-;-
15084035;Bergisdorf;-;-;-;-;-;-;-;-;-;-;-
15084040;Billroda;-;-;-;-;-;-;-;-;-;-;-
15084045;Breitenbach b. Zeitz, Elster;-;-;-;-;-;-;-;-;-;-;-
15084050;Bröckau;-;-;-;-;-;-;-;-;-;-;-
15084055;Bucha b. Naumburg, Saale;-;-;-;-;-;-;-;-;-;-;-
15084060;Burgholzhausen;-;-;-;-;-;-;-;-;-;-;-
15084065;Burgscheidungen;-;-;-;-;-;-;-;-;-;-;-
15084070;Burgwerben;-;-;-;-;-;-;-;-;-;-;-
15084075;Burkersroda;-;-;-;-;-;-;-;-;-;-;-
15084080;Casekirchen;-;-;-;-;-;-;-;-;-;-;-
15084085;Crölpa-Löbschütz;-;-;-;-;-;-;-;-;-;-;-
15084090;Dehlitz (Saale);-;-;-;-;-;-;-;-;-;-;-
15084095;Deuben;-;-;-;-;-;-;-;-;-;-;-
15084100;Pirkau;-;-;-;-;-;-;-;-;-;-;-
15084105;Döschwitz;-;-;-;-;-;-;-;-;-;-;-
15084110;Droßdorf;-;-;-;-;-;-;-;-;-;-;-
15084115;Droyßig;657;212;119;120;65;13;38;51;19;17;3
15084120;Ebersroda;-;-;-;-;-;-;-;-;-;-;-
15084125;Eckartsberga, Stadt;759;302;162;121;28;42;50;23;18;10;3
15084130;Elsteraue;2692;796;809;500;109;59;105;207;64;28;15
15084132;Finne;440;167;78;78;41;24;20;13;3;12;4
15084133;Finneland;439;206;55;83;32;21;26;10;-;3;3
15084135;Freyburg (Unstrut), Stadt;1441;432;244;346;126;91;57;84;40;12;9
15084140;Geußnitz;-;-;-;-;-;-;-;-;-;-;-
15084145;Gieckau;-;-;-;-;-;-;-;-;-;-;-
15084150;Gleina;466;187;64;97;39;13;24;19;7;10;6
15084155;Goldschau;-;-;-;-;-;-;-;-;-;-;-
15084160;Golzen;-;-;-;-;-;-;-;-;-;-;-
15084165;Görschen;-;-;-;-;-;-;-;-;-;-;-
15084170;Goseck;380;103;83;87;39;21;13;19;9;6;-
15084175;Grana;-;-;-;-;-;-;-;-;-;-;-
15084180;Granschütz;-;-;-;-;-;-;-;-;-;-;-
15084185;Gröben;-;-;-;-;-;-;-;-;-;-;-
15084190;Gröbitz b. Weißenfels;-;-;-;-;-;-;-;-;-;-;-
15084195;Großgörschen;-;-;-;-;-;-;-;-;-;-;-
15084200;Großkorbetha;-;-;-;-;-;-;-;-;-;-;-
15084205;Größnitz;-;-;-;-;-;-;-;-;-;-;-
15084207;Gutenborn;643;267;74;88;59;23;32;46;27;20;7
15084210;Haynsburg;-;-;-;-;-;-;-;-;-;-;-
15084215;Heidegrund;-;-;-;-;-;-;-;-;-;-;-
15084220;Herrengosserstedt;-;-;-;-;-;-;-;-;-;-;-
15084225;Heuckewalde;-;-;-;-;-;-;-;-;-;-;-
15084230;Hirschroda;-;-;-;-;-;-;-;-;-;-;-
15084235;Hohenmölsen, Stadt;2595;799;549;497;246;33;118;284;53;9;7
15084240;Janisroda;-;-;-;-;-;-;-;-;-;-;-
15084245;Kahlwinkel;-;-;-;-;-;-;-;-;-;-;-
15084246;Kaiserpfalz;621;210;91;166;54;34;22;30;7;4;3
15084250;Karsdorf;472;135;66;190;15;14;20;15;11;3;3
15084255;Kayna;-;-;-;-;-;-;-;-;-;-;-
15084260;Kirchscheidungen;-;-;-;-;-;-;-;-;-;-;-
15084265;Klosterhäseler;-;-;-;-;-;-;-;-;-;-;-
15084270;Krauschwitz b. Weißenfels;-;-;-;-;-;-;-;-;-;-;-
15084275;Kretzschau;756;305;125;122;48;22;42;49;27;9;7
15084280;Langendorf b. Weißenfels;-;-;-;-;-;-;-;-;-;-;-
15084282;Lanitz-Hassel-Tal;404;238;27;47;33;23;6;15;6;9;-
15084285;Laucha an der Unstrut, Stadt;1033;385;150;248;109;27;39;50;7;9;9
15084290;Leislau;-;-;-;-;-;-;-;-;-;-;-
15084295;Leißling;-;-;-;-;-;-;-;-;-;-;-
15084300;Löbitz;-;-;-;-;-;-;-;-;-;-;-
15084305;Lossa;-;-;-;-;-;-;-;-;-;-;-
15084310;Luckenau;-;-;-;-;-;-;-;-;-;-;-
15084315;Lützen, Stadt;2886;1083;616;462;128;46;184;243;63;49;12
15084320;Markwerben;-;-;-;-;-;-;-;-;-;-;-
15084325;Meineweh;-;-;-;-;-;-;-;-;-;-;-
15084330;Memleben;-;-;-;-;-;-;-;-;-;-;-
15084335;Mertendorf;563;242;69;89;40;23;35;39;16;7;3
15084340;Molau;-;-;-;-;-;-;-;-;-;-;-
15084341;Molauer Land;384;192;40;79;22;12;14;16;6;3;-
15084345;Möllern;-;-;-;-;-;-;-;-;-;-;-
15084350;Muschwitz;-;-;-;-;-;-;-;-;-;-;-
15084355;Naumburg (Saale), Stadt;7206;2821;1585;957;427;190;444;499;150;92;41
15084360;Nebra (Unstrut), Stadt;1011;296;133;328;68;53;43;46;28;9;7
15084365;Nessa;-;-;-;-;-;-;-;-;-;-;-
15084370;Nonnewitz;-;-;-;-;-;-;-;-;-;-;-
15084375;Osterfeld, Stadt;863;404;132;145;76;37;21;27;12;6;3
15084380;Pödelist;-;-;-;-;-;-;-;-;-;-;-
15084385;Poserna;-;-;-;-;-;-;-;-;-;-;-
15084390;Pretzsch;-;-;-;-;-;-;-;-;-;-;-
15084395;Prießnitz;-;-;-;-;-;-;-;-;-;-;-
15084400;Prittitz;-;-;-;-;-;-;-;-;-;-;-
15084405;Reichardtswerben;-;-;-;-;-;-;-;-;-;-;-
15084410;Reinsdorf b. Naumburg, Saale;-;-;-;-;-;-;-;-;-;-;-
15084415;Rippach;-;-;-;-;-;-;-;-;-;-;-
15084420;Röcken;-;-;-;-;-;-;-;-;-;-;-
15084425;Saubach;-;-;-;-;-;-;-;-;-;-;-
15084430;Schellbach;-;-;-;-;-;-;-;-;-;-;-
15084435;Schkortleben;-;-;-;-;-;-;-;-;-;-;-
15084440;Schleberoda;-;-;-;-;-;-;-;-;-;-;-
15084442;Schnaudertal;367;179;39;44;19;36;26;18;3;3;-
15084445;Schönburg;306;141;37;23;24;9;31;22;6;10;3
15084450;Sössen;-;-;-;-;-;-;-;-;-;-;-
15084455;Starsiedel;-;-;-;-;-;-;-;-;-;-;-
15084460;Steinburg b. Naumburg, Saale;-;-;-;-;-;-;-;-;-;-;-
15084465;Storkau;-;-;-;-;-;-;-;-;-;-;-
15084470;Stößen, Stadt;302;129;33;49;34;7;9;22;7;6;6
15084475;Tagewerben;-;-;-;-;-;-;-;-;-;-;-
15084480;Taucha b. Weißenfels;-;-;-;-;-;-;-;-;-;-;-
15084485;Taugwitz;-;-;-;-;-;-;-;-;-;-;-
15084490;Teuchern, Stadt;2608;1028;583;402;177;83;95;131;65;26;18
15084495;Thalwinkel;-;-;-;-;-;-;-;-;-;-;-
15084500;Theißen;-;-;-;-;-;-;-;-;-;-;-
15084505;Trebnitz b. Weißenfels;-;-;-;-;-;-;-;-;-;-;-
15084510;Tromsdorf;-;-;-;-;-;-;-;-;-;-;-
15084515;Uichteritz;-;-;-;-;-;-;-;-;-;-;-
15084520;Unterkaka;-;-;-;-;-;-;-;-;-;-;-
15084525;Utenbach;-;-;-;-;-;-;-;-;-;-;-
15084530;Waldau;-;-;-;-;-;-;-;-;-;-;-
15084535;Wangen b. Naumburg, Saale;-;-;-;-;-;-;-;-;-;-;-
15084540;Weischütz;-;-;-;-;-;-;-;-;-;-;-
15084545;Weißenborn b. Droyßig;-;-;-;-;-;-;-;-;-;-;-
15084550;Weißenfels, Stadt;9063;2044;2589;1717;728;245;426;790;283;179;62
15084555;Wengelsdorf;-;-;-;-;-;-;-;-;-;-;-
15084560;Wethau;347;115;57;38;61;21;13;16;13;9;4
15084565;Wetterzeube;658;266;95;117;34;28;47;38;21;9;3
15084570;Wischroda;-;-;-;-;-;-;-;-;-;-;-
15084575;Wittgendorf b. Zeitz;-;-;-;-;-;-;-;-;-;-;-
15084580;Wohlmirstedt;-;-;-;-;-;-;-;-;-;-;-
15084585;Würchwitz;-;-;-;-;-;-;-;-;-;-;-
15084590;Zeitz, Stadt;5563;1674;1572;1198;291;124;182;326;108;60;28
15084595;Zeuchfeld;-;-;-;-;-;-;-;-;-;-;-
15084600;Zorbau;-;-;-;-;-;-;-;-;-;-;-
15085005;Abbenrode;-;-;-;-;-;-;-;-;-;-;-
15085010;Allrode;-;-;-;-;-;-;-;-;-;-;-
15085015;Altenbrak;-;-;-;-;-;-;-;-;-;-;-
15085020;Aspenstedt;-;-;-;-;-;-;-;-;-;-;-
15085025;Athenstedt;-;-;-;-;-;-;-;-;-;-;-
15085030;Aue-Fallstein;-;-;-;-;-;-;-;-;-;-;-
15085035;Bad Suderode;-;-;-;-;-;-;-;-;-;-;-
15085040;Ballenstedt, Stadt;2471;981;548;325;176;68;97;157;79;37;3
15085045;Benneckenstein (Harz);-;-;-;-;-;-;-;-;-;-;-
15085050;Berßel;-;-;-;-;-;-;-;-;-;-;-
15085055;Blankenburg (Harz), Stadt;5438;2124;1073;830;408;112;185;436;124;115;31
15085060;Bühne;-;-;-;-;-;-;-;-;-;-;-
15085065;Cattenstedt;-;-;-;-;-;-;-;-;-;-;-
15085070;Dankerode;-;-;-;-;-;-;-;-;-;-;-
15085075;Danstedt;-;-;-;-;-;-;-;-;-;-;-
15085080;Darlingerode;-;-;-;-;-;-;-;-;-;-;-
15085085;Derenburg;-;-;-;-;-;-;-;-;-;-;-
15085090;Ditfurt;641;365;92;83;34;6;13;18;13;10;7
15085095;Drübeck;-;-;-;-;-;-;-;-;-;-;-
15085100;Elbingerode (Harz);-;-;-;-;-;-;-;-;-;-;-
15085105;Elend;-;-;-;-;-;-;-;-;-;-;-
15085110;Falkenstein/Harz, Stadt;2272;850;304;454;220;70;114;176;55;22;7
15085115;Friedrichsbrunn;-;-;-;-;-;-;-;-;-;-;-
15085120;Gernrode, Harz;-;-;-;-;-;-;-;-;-;-;-
15085125;Groß Quenstedt;355;200;73;27;15;9;9;16;0;3;3
15085130;Güntersberge;-;-;-;-;-;-;-;-;-;-;-
15085135;Halberstadt, Stadt;8773;1892;1986;1619;384;316;675;1130;446;231;94
15085140;Harsleben;819;319;92;57;25;35;74;176;23;15;3
15085145;Harzgerode, Stadt;2873;1071;509;566;239;146;127;114;45;39;17
15085150;Hasselfelde;-;-;-;-;-;-;-;-;-;-;-
15085155;Hausneindorf;-;-;-;-;-;-;-;-;-;-;-
15085160;Hedersleben;512;252;77;93;29;16;20;9;13;3;-
15085165;Heimburg;-;-;-;-;-;-;-;-;-;-;-
15085170;Heteborn;-;-;-;-;-;-;-;-;-;-;-
15085175;Heudeber;-;-;-;-;-;-;-;-;-;-;-
15085180;Hüttenrode;-;-;-;-;-;-;-;-;-;-;-
15085185;Huy;2991;1817;397;276;137;64;96;103;61;24;16
15085190;Ilsenburg (Harz), Stadt;2814;961;354;383;206;67;214;326;158;124;21
15085195;Königerode;-;-;-;-;-;-;-;-;-;-;-
15085200;Langeln, Harz;-;-;-;-;-;-;-;-;-;-;-
15085205;Langenstein;-;-;-;-;-;-;-;-;-;-;-
15085210;Lüttgenrode;-;-;-;-;-;-;-;-;-;-;-
15085215;Neinstedt;-;-;-;-;-;-;-;-;-;-;-
15085220;Neudorf;-;-;-;-;-;-;-;-;-;-;-
15085225;Nienhagen b. Oschersleben;-;-;-;-;-;-;-;-;-;-;-
15085227;Nordharz;2627;1234;410;245;164;63;122;199;100;54;36
15085228;Oberharz am Brocken, Stadt;3677;1616;596;621;275;119;131;154;93;48;24
15085230;Osterwieck, Stadt;4034;1924;564;542;225;128;194;192;162;84;19
15085235;Quedlinburg, Stadt;6437;2485;1232;804;527;162;286;562;190;137;52
15085240;Radisleben;-;-;-;-;-;-;-;-;-;-;-
15085245;Reddeber;-;-;-;-;-;-;-;-;-;-;-
15085250;Rhoden;-;-;-;-;-;-;-;-;-;-;-
15085255;Rieder;-;-;-;-;-;-;-;-;-;-;-
15085260;Sargstedt;-;-;-;-;-;-;-;-;-;-;-
15085265;Schauen;-;-;-;-;-;-;-;-;-;-;-
15085270;Schielo;-;-;-;-;-;-;-;-;-;-;-
15085275;Schierke;-;-;-;-;-;-;-;-;-;-;-
15085280;Schmatzfeld;-;-;-;-;-;-;-;-;-;-;-
15085285;Schwanebeck, Stadt;1002;503;221;88;47;10;32;60;22;13;6
15085287;Selke-Aue;578;242;91;123;50;17;3;15;34;3;-
15085290;Siptenfelde;-;-;-;-;-;-;-;-;-;-;-
15085295;Sorge;-;-;-;-;-;-;-;-;-;-;-
15085300;Stapelburg;-;-;-;-;-;-;-;-;-;-;-
15085305;Stecklenberg;-;-;-;-;-;-;-;-;-;-;-
15085310;Stiege;-;-;-;-;-;-;-;-;-;-;-
15085315;Straßberg b. Quedlinburg;-;-;-;-;-;-;-;-;-;-;-
15085320;Ströbeck;-;-;-;-;-;-;-;-;-;-;-
15085325;Tanne;-;-;-;-;-;-;-;-;-;-;-
15085330;Thale, Stadt;5175;2086;940;933;380;130;228;263;103;81;31
15085335;Timmenrode;-;-;-;-;-;-;-;-;-;-;-
15085340;Treseburg;-;-;-;-;-;-;-;-;-;-;-
15085345;Veckenstedt;-;-;-;-;-;-;-;-;-;-;-
15085350;Wasserleben;-;-;-;-;-;-;-;-;-;-;-
15085355;Weddersleben;-;-;-;-;-;-;-;-;-;-;-
15085360;Wedderstedt;-;-;-;-;-;-;-;-;-;-;-
15085365;Wegeleben, Stadt;1016;503;190;164;19;28;35;38;24;7;8
15085370;Wernigerode, Stadt;7204;2348;1471;993;437;199;451;735;303;180;87
