GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2009;09576143;Roth, St;269;132;137
2009;09576147;Spalt, St;37;25;12
2009;09576148;Thalmässing, M;66;26;40
2009;09576151;Wendelstein, M;129;59;70
2009;09576444;Gem.fr. Geb. Roth;0;0;0
2009;09577111;Absberg, M;12;3;9
2009;09577113;Alesheim;6;3;3
2009;09577114;Muhr a.See;11;10;1
2009;09577115;Bergen;9;4;5
2009;09577120;Burgsalach;11;3;8
2009;09577122;Dittenheim;15;3;12
2009;09577125;Ellingen, St;41;13;28
2009;09577127;Ettenstatt;7;5;2
2009;09577133;Gnotzheim, M;10;6;4
2009;09577136;Gunzenhausen, St;205;87;118
2009;09577138;Haundorf;26;11;15
2009;09577140;Heidenheim, M;29;14;15
2009;09577141;Höttingen;13;9;4
2009;09577148;Langenaltheim;26;16;10
2009;09577149;Markt Berolzheim, M;13;11;2
2009;09577150;Meinheim;12;6;6
2009;09577151;Nennslingen, M;16;10;6
2009;09577158;Pappenheim, St;48;27;21
2009;09577159;Pfofeld;7;3;4
2009;09577161;Pleinfeld, M;60;31;29
2009;09577162;Polsingen;29;19;10
2009;09577163;Raitenbuch;4;3;1
2009;09577168;Solnhofen;17;9;8
2009;09577172;Theilenhofen;8;2;6
2009;09577173;Treuchtlingen, St;131;62;69
2009;09577177;Weißenburg i.Bay., GKSt;246;98;148
2009;09577179;Westheim;12;5;7
2009;09661000;Aschaffenburg;767;369;398
2009;09662000;Schweinfurt;705;321;384
2009;09663000;Würzburg;1386;582;804
2009;09671111;Alzenau, St;180;79;101
2009;09671112;Bessenbach;61;23;38
2009;09671113;Blankenbach;12;6;6
2009;09671114;Karlstein a.Main;55;26;29
2009;09671119;Geiselbach;11;5;6
2009;09671120;Glattbach;29;18;11
2009;09671121;Goldbach, M;117;50;67
2009;09671122;Großostheim, M;166;79;87
2009;09671124;Haibach;63;27;36
2009;09671126;Heigenbrücken;35;19;16
2009;09671127;Heimbuchenthal;15;5;10
2009;09671128;Heinrichsthal;2;1;1
2009;09671130;Hösbach, M;129;64;65
2009;09671133;Johannesberg;23;12;11
2009;09671134;Kahl a.Main;94;40;54
2009;09671135;Kleinkahl;15;9;6
2009;09671136;Kleinostheim;66;36;30
2009;09671138;Krombach;18;10;8
2009;09671139;Laufach;45;20;25
2009;09671140;Mainaschaff;72;40;32
2009;09671141;Mespelbrunn;22;9;13
2009;09671143;Mömbris, M;110;53;57
2009;09671148;Rothenbuch;17;8;9
2009;09671150;Sailauf;31;18;13
2009;09671152;Schöllkrippen, M;44;20;24
2009;09671153;Sommerkahl;9;7;2
2009;09671155;Stockstadt a.Main, M;87;46;41
2009;09671156;Waldaschaff;25;15;10
2009;09671157;Weibersbrunn;17;13;4
2009;09671159;Westerngrund;25;10;15
2009;09671160;Dammbach;32;18;14
2009;09671162;Wiesen;9;6;3
2009;09671444;Gem.fr. Geb. Aschaffenburg;0;0;0
2009;09672111;Aura a.d.Saale;4;1;3
2009;09672112;Bad Bocklet, M;42;23;19
2009;09672113;Bad Brückenau, St;133;52;81
2009;09672114;Bad Kissingen, GKSt;370;144;226
2009;09672117;Burkardroth, M;83;41;42
2009;09672121;Elfershausen, M;16;6;10
2009;09672122;Euerdorf, M;18;8;10
2009;09672124;Fuchsstadt;16;8;8
2009;09672126;Geroda, M;10;5;5
2009;09672127;Hammelburg, St;154;58;96
2009;09672131;Maßbach, M;45;26;19
2009;09672134;Motten;15;10;5
2009;09672135;Münnerstadt, St;116;54;62
2009;09672136;Nüdlingen;34;18;16
2009;09672138;Oberleichtersbach;12;3;9
2009;09672139;Oberthulba, M;54;27;27
2009;09672140;Oerlenbach;38;18;20
2009;09672142;Ramsthal;17;10;7
2009;09672143;Rannungen;7;3;4
2009;09672145;Riedenberg;2;2;0
2009;09672149;Schondra, M;18;10;8
2009;09672155;Sulzthal, M;6;2;4
2009;09672157;Thundorf i.UFr.;14;10;4
2009;09672161;Wartmannsroth;16;8;8
2009;09672163;Wildflecken, M;21;13;8
2009;09672166;Zeitlofs, M;28;18;10
2009;09672444;Gem.fr. Geb. Bad Kissingen;0;0;0
2009;09673113;Aubstadt;5;2;3
2009;09673114;Bad Neustadt a.d.Saale, St;172;73;99
2009;09673116;Bastheim;38;27;11
2009;09673117;Bischofsheim a.d.Rhön, St;39;16;23
2009;09673123;Fladungen, St;27;14;13
2009;09673126;Großbardorf;2;1;1
2009;09673127;Großeibstadt;7;2;5
2009;09673129;Hausen;11;5;6
2009;09673130;Hendungen;5;5;0
2009;09673131;Herbstadt;6;4;2
2009;09673133;Heustreu;11;5;6
2009;09673134;Höchheim;12;8;4
2009;09673135;Hohenroth;21;12;9
2009;09673136;Hollstadt;15;7;8
2009;09673141;Bad Königshofen i.Grabfeld, St;101;46;55
2009;09673142;Mellrichstadt, St;72;30;42
2009;09673146;Niederlauer;22;10;12
2009;09673147;Nordheim v.d.Rhön;18;9;9
2009;09673149;Oberelsbach, M;29;10;19
2009;09673151;Oberstreu;13;10;3
2009;09673153;Ostheim v.d.Rhön, St;24;13;11
2009;09673156;Rödelmaier;1;0;1
2009;09673160;Saal a.d.Saale, M;11;6;5
2009;09673161;Salz;12;7;5
2009;09673162;Sandberg;26;10;16
2009;09673163;Schönau a.d.Brend;5;3;2
2009;09673167;Sondheim v.d.Rhön;9;6;3
2009;09673170;Stockheim;12;6;6
2009;09673171;Strahlungen;8;5;3
2009;09673172;Sulzdorf a.d.Lederhecke;18;9;9
2009;09673173;Sulzfeld;15;12;3
2009;09673174;Trappstadt, M;9;4;5
2009;09673175;Unsleben;10;5;5
2009;09673182;Willmars;3;3;0
2009;09673183;Wollbach;8;5;3
2009;09673184;Wülfershausen a.d.Saale;11;6;5
2009;09673186;Burglauer;9;6;3
2009;09673444;Gem.fr. Geb. Rhön-Grabfeld;0;0;0
2009;09674111;Aidhausen;19;13;6
2009;09674118;Breitbrunn;6;2;4
2009;09674120;Bundorf;9;1;8
2009;09674121;Burgpreppach, M;12;5;7
2009;09674129;Ebelsbach;33;18;15
2009;09674130;Ebern, St;66;29;37
2009;09674133;Eltmann, St;61;32;29
2009;09674139;Gädheim;10;5;5
2009;09674147;Haßfurt, St;140;76;64
2009;09674149;Hofheim i.UFr., St;67;30;37
2009;09674153;Riedbach;10;8;2
2009;09674159;Oberaurach;42;22;20
2009;09674160;Kirchlauter;13;8;5
2009;09674163;Knetzgau;44;16;28
2009;09674164;Königsberg i.Bay., St;31;17;14
2009;09674171;Maroldsweisach, M;43;24;19
2009;09674180;Theres;27;19;8
2009;09674184;Pfarrweisach;13;2;11
2009;09674187;Rauhenebrach;32;19;13
2009;09674190;Rentweinsdorf, M;17;11;6
2009;09674195;Sand a.Main;27;16;11
2009;09674201;Stettfeld;12;6;6
2009;09674210;Untermerzbach;29;16;13
2009;09674219;Wonfurt;18;11;7
2009;09674221;Zeil a.Main, St;78;34;44
2009;09674223;Ermershausen;4;4;0
2009;09675111;Abtswind, M;5;4;1
2009;09675112;Albertshofen;16;8;8
2009;09675113;Biebelried;12;10;2
2009;09675114;Buchbrunn;7;3;4
2009;09675116;Castell;7;3;4
2009;09675117;Dettelbach, St;89;40;49
2009;09675127;Geiselwind, M;17;8;9
2009;09675131;Großlangheim, M;11;8;3
2009;09675139;Iphofen, St;28;14;14
2009;09675141;Kitzingen, GKSt;245;111;134
2009;09675142;Kleinlangheim, M;15;5;10
2009;09675144;Mainbernheim, St;17;9;8
2009;09675146;Mainstockheim;30;12;18
2009;09675147;Marktbreit, St;64;27;37
2009;09675148;Markt Einersheim, M;12;5;7
2009;09675149;Marktsteft, St;15;6;9
2009;09675150;Martinsheim;9;3;6
2009;09675155;Nordheim a.Main;8;7;1
2009;09675156;Obernbreit, M;20;15;5
2009;09675158;Prichsenstadt, St;21;16;5
2009;09675161;Rödelsee;10;6;4
2009;09675162;Rüdenhausen, M;10;6;4
2009;09675165;Schwarzach a.Main, M;27;13;14
2009;09675166;Segnitz;5;4;1
2009;09675167;Seinsheim, M;16;7;9
2009;09675169;Sommerach;14;4;10
2009;09675170;Sulzfeld a.Main;5;1;4
2009;09675174;Volkach, St;87;44;43
2009;09675177;Wiesenbronn;5;4;1
2009;09675178;Wiesentheid, M;58;22;36
2009;09675179;Willanzheim, M;11;6;5
2009;09676111;Altenbuch;15;8;7
2009;09676112;Amorbach, St;72;34;38
2009;09676116;Bürgstadt, M;39;12;27
2009;09676117;Collenberg;17;10;7
2009;09676118;Dorfprozelten;19;10;9
2009;09676119;Eichenbühl;26;15;11
2009;09676121;Elsenfeld, M;78;44;34
2009;09676122;Erlenbach a.Main, St;89;46;43
2009;09676123;Eschau, M;40;21;19
2009;09676124;Faulbach;21;8;13
2009;09676125;Großheubach, M;59;18;41
2009;09676126;Großwallstadt;36;18;18
2009;09676128;Hausen;10;6;4
2009;09676131;Kirchzell, M;26;11;15
2009;09676132;Kleinheubach, M;27;13;14
2009;09676133;Kleinwallstadt, M;76;27;49
2009;09676134;Klingenberg a.Main, St;54;30;24
2009;09676135;Laudenbach;9;5;4
2009;09676136;Leidersbach;28;15;13
2009;09676139;Miltenberg, St;101;33;68
2009;09676140;Mömlingen;38;21;17
2009;09676141;Mönchberg, M;15;11;4
2009;09676143;Neunkirchen;11;5;6
2009;09676144;Niedernberg;25;13;12
2009;09676145;Obernburg a.Main, St;73;34;39
2009;09676151;Röllbach;9;3;6
2009;09676153;Rüdenau;10;4;6
2009;09676156;Schneeberg, M;8;5;3
2009;09676158;Stadtprozelten, St;13;9;4
2009;09676160;Sulzbach a.Main, M;48;21;27
2009;09676165;Weilbach, M;27;9;18
2009;09676169;Wörth a.Main, St;79;39;40
2009;09676444;Gem.fr. Geb. Miltenberg;0;0;0
2009;09677114;Arnstein, St;79;30;49
2009;09677116;Aura i.Sinngrund;6;2;4
2009;09677119;Birkenfeld;20;11;9
2009;09677120;Bischbrunn;22;14;8
2009;09677122;Burgsinn, M;24;13;11
2009;09677125;Erlenbach b.Marktheidenfeld;24;15;9
2009;09677126;Esselbach;27;7;20
2009;09677127;Eußenheim;40;21;19
2009;09677128;Fellen;10;6;4
2009;09677129;Frammersbach, M;42;23;19
2009;09677131;Gemünden a.Main, St;174;79;95
2009;09677132;Gössenheim;6;4;2
2009;09677133;Gräfendorf;14;6;8
2009;09677135;Hafenlohr;21;9;12
2009;09677137;Hasloch;13;5;8
2009;09677142;Himmelstadt;16;8;8
2009;09677146;Karbach, M;10;8;2
2009;09677148;Karlstadt, St;158;70;88
2009;09677149;Karsbach;8;4;4
2009;09677151;Kreuzwertheim, M;43;22;21
2009;09677154;Triefenstein, M;28;16;12
2009;09677155;Lohr a.Main, St;165;66;99
2009;09677157;Marktheidenfeld, St;134;61;73
2009;09677159;Mittelsinn;5;4;1
2009;09677164;Neuendorf;10;4;6
2009;09677165;Neuhütten;16;11;5
2009;09677166;Neustadt a.Main;16;11;5
2009;09677169;Obersinn, M;12;5;7
2009;09677170;Partenstein;30;15;15
2009;09677172;Rechtenbach;6;3;3
2009;09677175;Retzstadt;15;8;7
2009;09677177;Rieneck, St;20;11;9
2009;09677178;Roden;9;6;3
2009;09677181;Rothenfels, St;10;7;3
2009;09677182;Schollbrunn;5;3;2
2009;09677186;Steinfeld;16;9;7
2009;09677189;Thüngen, M;7;3;4
2009;09677193;Urspringen;9;4;5
2009;09677200;Wiesthal;11;5;6
2009;09677203;Zellingen, M;57;19;38
2009;09677444;Gem.fr. Geb. Main-Spessart;0;0;0
2009;09678115;Bergrheinfeld;24;12;12
2009;09678122;Dingolshausen;14;6;8
2009;09678123;Dittelbrunn;44;26;18
2009;09678124;Donnersdorf;17;5;12
2009;09678128;Euerbach;22;7;15
2009;09678130;Frankenwinheim;9;3;6
2009;09678132;Geldersheim;47;19;28
2009;09678134;Gerolzhofen, St;89;37;52
2009;09678135;Gochsheim;49;22;27
2009;09678136;Grafenrheinfeld;31;13;18
2009;09678138;Grettstadt;39;24;15
2009;09678150;Kolitzheim;44;26;18
2009;09678153;Lülsfeld;7;4;3
2009;09678157;Michelau i.Steigerwald;11;5;6
2009;09678160;Niederwerrn;67;37;30
2009;09678164;Oberschwarzach, M;13;6;7
2009;09678168;Poppenhausen;37;17;20
2009;09678170;Röthlein;43;16;27
2009;09678174;Schonungen;68;38;30
2009;09678175;Schwanfeld;18;10;8
2009;09678176;Schwebheim;27;14;13
2009;09678178;Sennfeld;35;23;12
2009;09678181;Stadtlauringen, M;63;28;35
2009;09678183;Sulzheim;10;6;4
2009;09678186;Üchtelhausen;35;22;13
2009;09678190;Waigolshausen;26;12;14
2009;09678192;Wasserlosen;32;14;18
2009;09678193;Werneck, M;142;81;61
2009;09678196;Wipfeld;10;4;6
2009;09678444;Gem.fr. Geb. Schweinfurt;0;0;0
2009;09679114;Aub, St;34;12;22
2009;09679117;Bergtheim;19;9;10
2009;09679118;Bieberehren;5;3;2
2009;09679122;Bütthard, M;3;1;2
2009;09679124;Eibelstadt, St;16;9;7
2009;09679126;Eisingen;17;11;6
2009;09679128;Erlabrunn;11;9;2
2009;09679130;Estenfeld;47;27;20
2009;09679131;Frickenhausen a.Main, M;15;10;5
2009;09679134;Gaukönigshofen;15;5;10
2009;09679135;Gelchsheim, M;9;6;3
2009;09679136;Gerbrunn;42;23;19
2009;09679137;Geroldshausen;11;7;4
2009;09679138;Giebelstadt, M;41;28;13
2009;09679141;Greußenheim;13;5;8
2009;09679142;Güntersleben;25;11;14
2009;09679143;Hausen b.Würzburg;20;9;11
2009;09679144;Helmstadt, M;16;7;9
2009;09679146;Hettstadt;23;13;10
2009;09679147;Höchberg, M;81;47;34
2009;09679149;Holzkirchen;3;1;2
2009;09679153;Kirchheim;21;12;9
2009;09679154;Kist;18;10;8
2009;09679155;Kleinrinderfeld;11;7;4
2009;09679156;Kürnach;26;17;9
2009;09679161;Margetshöchheim;21;12;9
2009;09679164;Neubrunn, M;27;15;12
2009;09679165;Altertheim;12;3;9
2009;09679167;Eisenheim, M;8;4;4
2009;09679169;Oberpleichfeld;3;1;2
2009;09679170;Ochsenfurt, St;143;61;82
2009;09679174;Prosselsheim;10;3;7
2009;09679175;Randersacker, M;19;10;9
2009;09679176;Reichenberg, M;30;13;17
2009;09679177;Remlingen, M;15;9;6
2009;09679179;Riedenheim;6;3;3
2009;09679180;Rimpar, M;60;27;33
2009;09679182;Röttingen, St;40;8;32
2009;09679185;Rottendorf;36;14;22
2009;09679187;Sommerhausen, M;21;11;10
2009;09679188;Sonderhofen;8;4;4
2009;09679192;Tauberrettersheim;6;4;2
2009;09679193;Theilheim;17;6;11
2009;09679194;Thüngersheim;28;14;14
2009;09679196;Uettingen;12;9;3
2009;09679200;Leinach;18;10;8
2009;09679201;Unterpleichfeld;24;19;5
2009;09679202;Veitshöchheim;91;40;51
2009;09679204;Waldbrunn;14;8;6
2009;09679205;Waldbüttelbrunn;44;20;24
2009;09679206;Winterhausen, M;4;2;2
2009;09679209;Zell a.Main, M;58;29;29
2009;09679444;Gem.fr. Geb. Würzburg;0;0;0
2009;09761000;Augsburg;2943;1352;1591
2009;09762000;Kaufbeuren;550;245;305
2009;09763000;Kempten (Allgäu);736;311;425
2009;09764000;Memmingen;471;195;276
2009;09771111;Adelzhausen;14;8;6
2009;09771112;Affing;28;18;10
2009;09771113;Aichach, St;213;99;114
2009;09771114;Aindling, M;32;13;19
2009;09771122;Dasing;43;26;17
2009;09771129;Eurasburg;11;2;9
2009;09771130;Friedberg, St;273;131;142
2009;09771140;Hollenbach;19;9;10
2009;09771141;Inchenhofen, M;16;8;8
2009;09771142;Kissing;68;40;28
2009;09771144;Kühbach, M;27;12;15
2009;09771145;Merching;21;10;11
2009;09771146;Mering, M;132;54;78
2009;09771149;Obergriesbach;9;8;1
2009;09771155;Petersdorf;14;8;6
2009;09771156;Pöttmes, M;52;23;29
2009;09771158;Rehling;15;6;9
2009;09771160;Ried;20;6;14
2009;09771162;Schiltberg;12;7;5
2009;09771163;Schmiechen;4;4;0
2009;09771165;Sielenbach;10;4;6
2009;09771168;Steindorf;6;2;4
2009;09771169;Todtenweis;8;6;2
2009;09771176;Baar (Schwaben);11;2;9
2009;09772111;Adelsried;18;6;12
2009;09772114;Allmannshofen;2;2;0
2009;09772115;Altenmünster;31;13;18
2009;09772117;Aystetten;28;16;12
2009;09772121;Biberbach, M;28;13;15
2009;09772125;Bobingen, St;161;78;83
2009;09772126;Bonstetten;7;4;3
2009;09772130;Diedorf, M;108;44;64
2009;09772131;Dinkelscherben, M;85;30;55
2009;09772134;Ehingen;5;5;0
2009;09772136;Ellgau;10;5;5
2009;09772137;Emersacker;8;5;3
2009;09772141;Fischach, M;28;10;18
2009;09772145;Gablingen;34;20;14
2009;09772147;Gersthofen, St;219;105;114
2009;09772148;Gessertshausen;35;17;18
2009;09772149;Graben;22;9;13
2009;09772151;Großaitingen;34;14;20
2009;09772156;Heretsried;8;5;3
2009;09772157;Hiltenfingen;13;5;8
2009;09772159;Horgau;7;2;5
2009;09772160;Kleinaitingen;4;3;1
2009;09772162;Klosterlechfeld;13;7;6
2009;09772163;Königsbrunn, St;224;100;124
2009;09772166;Kühlenthal;8;6;2
2009;09772167;Kutzenhausen;13;10;3
2009;09772168;Langenneufnach;16;8;8
2009;09772170;Langerringen;28;8;20
2009;09772171;Langweid a.Lech;62;37;25
2009;09772177;Meitingen, M;107;43;64
2009;09772178;Mickhausen;15;4;11
2009;09772179;Mittelneufnach;4;3;1
2009;09772184;Neusäß, St;254;117;137
2009;09772185;Nordendorf;9;5;4
2009;09772186;Oberottmarshausen;4;4;0
2009;09772197;Scherstetten;6;3;3
2009;09772200;Schwabmünchen, St;124;60;64
2009;09772202;Stadtbergen, St;184;82;102
2009;09772207;Thierhaupten, M;30;16;14
2009;09772209;Untermeitingen;32;13;19
2009;09772211;Ustersbach;7;3;4
2009;09772214;Walkertshofen;7;4;3
2009;09772215;Wehringen;19;13;6
2009;09772216;Welden, M;25;14;11
2009;09772217;Westendorf;6;2;4
2009;09772223;Zusmarshausen, M;57;28;29
2009;09772444;Gem.fr. Geb. Augsburg;0;0;0
2009;09773111;Aislingen, M;14;6;8
2009;09773112;Bachhagel;8;3;5
2009;09773113;Bächingen a.d.Brenz;13;8;5
2009;09773116;Binswangen;7;5;2
2009;09773117;Bissingen, M;39;19;20
2009;09773119;Blindheim;15;3;12
2009;09773122;Buttenwiesen;43;23;20
2009;09773125;Dillingen a.d.Donau, GKSt;184;75;109
2009;09773133;Glött;12;7;5
2009;09773136;Gundelfingen a.d.Donau, St;90;37;53
2009;09773137;Haunsheim;8;5;3
2009;09773139;Höchstädt a.d.Donau, St;88;41;47
2009;09773140;Holzheim;21;15;6
2009;09773143;Laugna;9;5;4
2009;09773144;Lauingen (Donau), St;119;42;77
2009;09773146;Lutzingen;10;1;9
2009;09773147;Mödingen;14;8;6
2009;09773150;Finningen;10;5;5
2009;09773153;Medlingen;4;2;2
2009;09773164;Schwenningen;11;9;2
2009;09773170;Syrgenstein;25;11;14
2009;09773179;Villenbach;8;5;3
2009;09773182;Wertingen, St;90;39;51
2009;09773183;Wittislingen, M;23;13;10
2009;09773186;Ziertheim;9;6;3
2009;09773187;Zöschingen;8;2;6
2009;09773188;Zusamaltheim;9;4;5
2009;09774111;Aletshausen;11;8;3
2009;09774115;Balzhausen;5;3;2
2009;09774116;Ursberg;58;15;43
2009;09774117;Breitenthal;15;8;7
2009;09774118;Bubesheim;11;6;5
2009;09774119;Bibertal;30;18;12
2009;09774121;Burgau, St;96;36;60
2009;09774122;Burtenbach, M;36;14;22
2009;09774124;Deisenhausen;9;6;3
2009;09774127;Dürrlauingen;2;2;0
2009;09774129;Ebershausen;4;1;3
2009;09774133;Ellzee;10;5;5
2009;09774135;Günzburg, GKSt;200;100;100
2009;09774136;Gundremmingen;11;6;5
2009;09774140;Haldenwang;18;11;7
2009;09774143;Ichenhausen, St;77;37;40
2009;09774144;Jettingen-Scheppach, M;62;28;34
2009;09774145;Kammeltal;18;14;4
2009;09774148;Kötz;20;10;10
2009;09774150;Krumbach (Schwaben), St;136;61;75
2009;09774151;Landensberg;10;6;4
2009;09774155;Leipheim, St;63;24;39
2009;09774160;Münsterhausen, M;8;4;4
2009;09774162;Neuburg a.d.Kammel, M;24;11;13
2009;09774166;Aichen;15;8;7
2009;09774171;Offingen, M;37;15;22
2009;09774174;Rettenbach;12;6;6
2009;09774178;Röfingen;10;3;7
2009;09774185;Thannhausen, St;78;38;40
2009;09774189;Wiesenbach;9;4;5
2009;09774191;Waldstetten, M;7;2;5
2009;09774192;Waltenhausen;9;8;1
2009;09774196;Winterbach;5;1;4
2009;09774198;Ziemetshausen, M;26;16;10
2009;09774444;Gem.fr. Geb. Günzburg;0;0;0
2009;09775111;Altenstadt, M;34;16;18
2009;09775115;Bellenberg;47;25;22
2009;09775118;Buch, M;27;13;14
2009;09775126;Holzheim;10;2;8
2009;09775129;Illertissen, St;151;77;74
2009;09775132;Kellmünz a.d.Iller, M;10;5;5
2009;09775134;Nersingen;66;35;31
2009;09775135;Neu-Ulm, GKSt;519;246;273
2009;09775139;Elchingen;80;43;37
2009;09775141;Oberroth;4;1;3
2009;09775142;Osterberg;9;3;6
2009;09775143;Pfaffenhofen a.d.Roth, M;49;24;25
2009;09775149;Roggenburg;15;7;8
2009;09775152;Senden, St;194;96;98
2009;09775161;Unterroth;9;5;4
2009;09775162;Vöhringen, St;137;68;69
2009;09775164;Weißenhorn, St;115;52;63
2009;09775444;Gem.fr. Geb. Neu-Ulm;0;0;0
2009;09776111;Bodolz;18;10;8
2009;09776112;Gestratz;8;3;5
2009;09776113;Grünenbach;17;7;10
2009;09776114;Heimenkirch, M;33;21;12
2009;09776115;Hergensweiler;11;6;5
2009;09776116;Lindau (Bodensee), GKSt;284;118;166
2009;09776117;Lindenberg i.Allgäu, St;145;62;83
2009;09776118;Maierhöfen;32;17;15
2009;09776120;Nonnenhorn;16;8;8
2009;09776121;Oberreute;15;10;5
2009;09776122;Opfenbach;25;11;14
2009;09776124;Röthenbach (Allgäu);16;4;12
2009;09776125;Scheidegg, M;49;23;26
2009;09776126;Sigmarszell;20;6;14
2009;09776127;Stiefenhofen;12;5;7
2009;09776128;Wasserburg (Bodensee);47;21;26
2009;09776129;Weiler-Simmerberg, M;53;29;24
2009;09776130;Weißensberg;18;9;9
2009;09776131;Hergatz;17;7;10
2009;09777111;Aitrang;12;8;4
2009;09777112;Biessenhofen;37;20;17
2009;09777114;Baisweil;10;4;6
2009;09777118;Bidingen;8;4;4
2009;09777121;Buchloe, St;86;34;52
2009;09777124;Eggenthal;14;6;8
2009;09777125;Eisenberg;10;7;3
2009;09777128;Friesenried;13;7;6
2009;09777129;Füssen, St;209;87;122
2009;09777130;Germaringen;24;12;12
2009;09777131;Görisried;17;11;6
2009;09777135;Hopferau;9;4;5
2009;09777138;Günzach;10;6;4
2009;09777139;Irsee, M;16;8;8
2009;09777140;Jengen;9;3;6
2009;09777141;Kaltental, M;11;5;6
2009;09777144;Kraftisried;7;2;5
2009;09777145;Lamerdingen;12;8;4
2009;09777147;Lechbruck am See;30;13;17
2009;09777149;Lengenwang;10;5;5
2009;09777151;Marktoberdorf, St;214;98;116
2009;09777152;Mauerstetten;28;9;19
2009;09777153;Nesselwang, M;45;18;27
2009;09777154;Obergünzburg, M;76;29;47
2009;09777155;Oberostendorf;9;5;4
2009;09777157;Osterzell;10;5;5
2009;09777158;Pforzen;12;7;5
2009;09777159;Pfronten;73;39;34
2009;09777163;Rieden am Forggensee;12;5;7
2009;09777164;Rieden;13;5;8
2009;09777165;Ronsberg, M;10;3;7
2009;09777166;Roßhaupten;18;11;7
2009;09777167;Ruderatshofen;28;12;16
2009;09777168;Rückholz;2;1;1
2009;09777169;Schwangau;36;17;19
2009;09777170;Seeg;39;15;24
2009;09777171;Stötten a.Auerberg;22;9;13
2009;09777172;Stöttwang;12;10;2
2009;09777173;Halblech;36;17;19
2009;09777175;Unterthingau, M;16;8;8
2009;09777176;Untrasried;12;5;7
2009;09777177;Waal, M;32;10;22
2009;09777179;Wald;10;3;7
2009;09777182;Westendorf;14;8;6
2009;09777183;Rettenbach a.Auerberg;3;2;1
2009;09778111;Amberg;7;4;3
2009;09778113;Apfeltrach;9;1;8
2009;09778115;Babenhausen, M;56;32;24
2009;09778116;Bad Wörishofen, St;197;99;98
2009;09778118;Benningen;14;11;3
2009;09778119;Böhen;6;3;3
2009;09778120;Boos;11;5;6
2009;09778121;Breitenbrunn;16;10;6
2009;09778123;Buxheim;47;24;23
2009;09778127;Dirlewang, M;18;12;6
2009;09778130;Egg a.d.Günz;4;3;1
2009;09778134;Eppishausen;14;8;6
2009;09778136;Erkheim, M;30;16;14
2009;09778137;Ettringen;36;19;17
2009;09778139;Fellheim;30;12;18
2009;09778144;Bad Grönenbach, M;52;24;28
2009;09778149;Hawangen;10;2;8
2009;09778150;Heimertingen;15;7;8
2009;09778151;Holzgünz;11;7;4
2009;09778157;Kirchhaslach;9;6;3
2009;09778158;Kirchheim i.Schw., M;30;11;19
2009;09778161;Kronburg;14;6;8
2009;09778162;Lachen;12;3;9
2009;09778163;Lauben;16;9;7
2009;09778164;Lautrach;13;2;11
2009;09778165;Legau, M;43;17;26
2009;09778168;Markt Rettenbach, M;49;15;34
2009;09778169;Markt Wald, M;13;9;4
2009;09778171;Memmingerberg;16;10;6
2009;09778173;Mindelheim, St;131;68;63
2009;09778177;Niederrieden;4;1;3
2009;09778180;Kammlach;13;7;6
2009;09778183;Oberrieden;11;8;3
2009;09778184;Oberschönegg;6;5;1
2009;09778186;Ottobeuren, M;95;30;65
2009;09778187;Pfaffenhausen, M;25;12;13
2009;09778188;Pleß;9;6;3
2009;09778190;Salgen;11;9;2
2009;09778196;Sontheim;21;12;9
2009;09778199;Stetten;5;4;1
2009;09778202;Trunkelsberg;13;8;5
2009;09778203;Türkheim, M;83;36;47
2009;09778204;Tussenhausen, M;19;10;9
2009;09778205;Ungerhausen;12;5;7
2009;09778207;Unteregg;8;7;1
2009;09778209;Rammingen;10;3;7
2009;09778214;Westerheim;12;4;8
2009;09778216;Wiedergeltingen;5;1;4
2009;09778217;Winterrieden;2;1;1
2009;09778218;Wolfertschwenden;10;2;8
2009;09778219;Woringen;6;5;1
2009;09778221;Kettershausen;16;8;8
2009;09778444;Gem.fr. Geb. Unterallgäu;0;0;0
2009;09779111;Alerheim;15;10;5
2009;09779112;Amerdingen;6;4;2
2009;09779115;Asbach-Bäumenheim;31;20;11
2009;09779117;Auhausen;8;1;7
2009;09779126;Buchdorf;6;2;4
2009;09779129;Daiting;7;3;4
2009;09779130;Deiningen;19;9;10
2009;09779131;Donauwörth, GKSt;217;114;103
2009;09779136;Ederheim;6;3;3
2009;09779138;Ehingen a.Ries;6;3;3
2009;09779146;Forheim;10;8;2
2009;09779147;Fremdingen;28;9;19
2009;09779148;Fünfstetten;9;7;2
2009;09779149;Genderkingen;8;5;3
2009;09779154;Hainsfarth;6;3;3
2009;09779155;Harburg (Schwaben), St;48;26;22
2009;09779162;Hohenaltheim;3;2;1
2009;09779163;Holzheim;7;4;3
2009;09779167;Huisheim;12;7;5
2009;09779169;Kaisheim, M;23;9;14
2009;09779176;Maihingen;4;2;2
2009;09779177;Marktoffingen;1;1;0
2009;09779178;Marxheim;21;11;10
2009;09779180;Megesheim;8;5;3
2009;09779181;Mertingen;29;19;10
2009;09779184;Mönchsdeggingen;18;10;8
2009;09779185;Möttingen;16;10;6
2009;09779186;Monheim, St;41;19;22
2009;09779187;Münster;7;4;3
