GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
13051016;Cammin;364;-;0;132;66;70;58;38
13051017;Damm;-;-;-;-;-;-;-;-
13051018;Dummerstorf;-;-;-;-;-;-;-;-
13051019;Elmenhorst/Lichtenhagen;1859;31;110;278;398;446;360;236
13051020;Gelbensande;909;112;174;238;149;111;73;52
13051021;Gnewitz;97;-;3;9;22;36;21;6
13051022;Graal-Müritz;2709;71;573;739;620;367;209;130
13051023;Grammow;90;3;12;26;12;11;13;13
13051028;Hohenfelde;325;4;13;32;74;88;75;39
13051033;Kassow;151;-;6;18;48;41;35;3
13051034;Kavelstorf;-;-;-;-;-;-;-;-
13051035;Kessin;-;-;-;-;-;-;-;-
13051036;Kirch Mulsow;146;-;10;17;34;39;29;17
13051037;Klein Kussewitz;305;8;9;48;80;77;42;41
13051040;Kritzmow;1410;43;107;206;339;287;235;193
13051041;Kröpelin, Stadt;2424;51;231;495;764;446;220;217
13051042;Kühlungsborn, Stadt;4541;157;758;1144;1191;587;348;356
13051043;Lambrechtshagen;1225;-;83;256;246;298;176;166
13051044;Lieblingshof;-;-;-;-;-;-;-;-
13051045;Mandelshagen;125;18;7;21;31;16;16;16
13051046;Mönchhagen;458;-;11;59;93;168;79;48
13051047;Neubukow, Stadt;2024;37;178;541;625;343;143;157
13051049;Nienhagen;1035;8;101;258;245;165;156;102
13051050;Nustrow;70;-;3;11;34;7;12;3
13051051;Papendorf;1023;15;57;186;202;238;173;152
13051053;Pölchow;368;6;7;36;81;110;81;47
13051054;Poppendorf;309;3;16;35;51;116;61;27
13051055;Prisannewitz;-;-;-;-;-;-;-;-
13051059;Reddelich;351;-;23;65;75;86;72;30
13051062;Rerik, Stadt;1204;15;98;256;319;244;167;105
13051063;Retschow;397;3;19;62;96;101;71;45
13051064;Roggentin;1080;7;22;99;222;410;201;119
13051066;Rövershagen;1039;13;101;191;250;218;171;95
13051067;Rukieten;143;-;9;12;19;35;49;19
13051068;Sanitz;2647;23;328;554;552;598;367;225
13051071;Schwaan, Stadt;2465;34;267;601;679;467;241;176
13051072;Selpin;261;-;10;71;69;51;37;23
13051073;Stäbelow;585;9;16;59;102;198;118;83
13051074;Steffenshagen;232;13;7;46;33;61;48;24
13051075;Steinfeld;224;4;-;27;50;64;44;35
13051076;Stubbendorf;72;-;6;14;10;18;18;6
13051077;Tessin, Stadt;2034;27;220;439;648;396;179;125
13051078;Thelkow;213;-;4;23;75;55;28;28
13051079;Thulendorf;239;-;8;25;55;73;30;48
13051080;Vorbeck;153;-;7;22;35;48;20;21
13051082;Wiendorf;350;-;9;40;92;87;72;50
13051083;Wittenbeck;401;-;44;103;102;59;60;33
13051084;Zarnewanz;164;-;6;13;27;41;34;43
13051085;Ziesendorf;533;3;10;71;109;173;116;51
13051086;Satow;2533;12;165;376;696;646;345;293
13051087;Am Salzhaff;253;-;11;49;78;52;33;30
13051088;Carinerland;503;18;38;85;147;97;55;63
13051089;Dummerstorf;3120;20;173;533;849;808;408;329
13052001;Alt Tellin;229;-;-;52;71;52;38;16
13052002;Altenhagen;168;6;9;26;28;27;39;33
13052003;Altentreptow, Stadt;3006;92;586;839;541;474;285;189
13052004;Bartow;267;6;30;37;48;70;35;41
13052005;Basedow;371;-;16;62;116;80;54;43
13052007;Beggerow;267;6;47;52;60;40;28;34
13052008;Bentzin;386;-;19;93;67;102;68;37
13052010;Bredenfelde;81;-;-;0;35;23;7;16
13052011;Breesen;270;27;31;77;54;41;25;15
13052012;Breest;77;-;13;22;3;7;19;13
13052013;Briggow;164;-;7;28;43;42;16;28
13052015;Burow;562;32;77;116;112;110;69;46
13052016;Daberkow;172;-;6;39;57;19;34;17
13052017;Dargun, Stadt;2337;34;181;443;682;489;301;207
13052018;Demmin, Hansestadt;6642;108;798;2077;1957;929;434;339
13052019;Duckow;120;-;-;19;47;37;7;10
13052020;Düvier;226;3;6;28;48;81;33;27
13052021;Faulenrost;337;-;18;49;102;83;48;37
13052022;Gielow;632;6;61;131;169;121;84;60
13052024;Gnevkow;197;6;19;26;67;37;13;29
13052025;Golchen;152;3;18;23;38;30;27;13
13052026;Görmin;412;3;21;63;100;82;64;79
13052028;Grammentin;139;6;9;25;16;45;25;13
13052029;Grapzow;208;3;29;33;45;39;37;22
13052030;Grischow;115;-;13;17;30;34;15;6
13052032;Groß Teetzleben;317;7;17;35;76;66;50;66
13052033;Gültz;277;3;38;51;58;43;52;32
13052034;Gülzow;216;-;6;35;81;50;20;24
13052035;Hohenbollentin;50;-;-;3;23;15;6;3
13052038;Ivenack;395;3;28;72;106;100;64;22
13052039;Jarmen, Stadt;1726;38;174;514;504;275;130;91
13052040;Jürgenstorf;445;6;29;89;112;100;56;53
13052042;Kittendorf;192;3;21;34;47;43;27;17
13052044;Knorrendorf;309;6;9;63;96;82;23;30
13052045;Kriesow;173;12;14;33;29;41;26;18
13052046;Kruckow;375;4;9;74;110;85;42;51
13052047;Kummerow;289;-;13;58;61;68;56;33
13052048;Lindenberg;141;-;19;30;30;34;15;13
13052049;Loitz, Stadt;2176;50;171;548;688;375;223;121
13052050;Malchin, Stadt;4594;114;535;955;763;1125;855;247
13052051;Meesiger;123;3;4;9;30;44;27;6
13052053;Mölln;292;3;15;50;94;54;46;30
13052054;Kentzlin;100;-;-;6;17;43;23;11
13052055;Neukalen, Stadt;1012;26;119;222;221;226;107;91
13052056;Nossendorf;343;3;6;48;112;70;41;63
13052059;Pripsleben;120;-;4;18;42;18;16;22
13052062;Remplin;-;-;-;-;-;-;-;-
13052063;Ritzerow;220;-;19;46;47;49;39;20
13052064;Röckwitz;126;-;-;13;22;29;34;28
13052065;Rosenow;519;3;27;126;149;82;69;63
13052067;Sarow;398;-;7;79;100;110;66;36
13052070;Schönfeld;200;3;7;48;57;36;32;17
13052071;Siedenbollentin;293;7;18;58;55;68;60;27
13052073;Sommersdorf;122;-;3;23;25;35;26;10
13052074;Stavenhagen, Reuterstadt, Stadt;3111;34;180;835;1128;589;229;116
13052078;Tutow;663;32;61;190;141;142;61;36
13052079;Tützpatz;323;15;66;74;61;55;42;10
13052082;Verchen;229;8;9;70;27;53;27;35
13052083;Völschow;253;4;6;41;81;60;37;24
13052085;Warrenzin;201;-;6;36;40;69;20;30
13052086;Werder;300;9;27;55;77;64;43;25
13052087;Wildberg;285;10;31;54;49;66;39;36
13052088;Wolde;335;6;34;73;64;82;38;38
13052092;Zettemin;173;3;10;13;70;35;23;19
13052093;Borrentin;501;39;69;97;115;106;32;43
13052094;Hohenmocker;257;3;10;39;46;78;42;39
13052095;Kletzin;394;-;21;53;103;97;71;49
13052096;Siedenbrünzow;280;-;6;57;90;60;52;15
13052097;Utzedel;239;-;10;39;66;65;21;38
13052098;Sassen-Trantow;457;-;25;88;102;112;63;67
13053002;Alt Sührkow;211;12;23;47;51;24;25;29
13053003;Altkalen;367;-;13;42;81;91;82;58
13053004;Baumgarten;385;3;32;48;106;108;38;50
13053005;Behren-Lübchin;334;3;29;62;73;83;53;31
13053007;Bernitt;739;21;79;88;149;162;161;79
13053008;Boddin;195;-;16;60;64;15;25;15
13053013;Bützow, Stadt;4019;61;478;1281;1104;630;292;173
13053015;Dahmen;304;17;34;67;50;77;34;25
13053016;Dalkendorf;139;-;19;32;24;34;12;18
13053017;Diekhof;492;3;37;93;140;115;67;37
13053019;Dreetz;91;-;7;3;32;24;19;6
13053020;Finkenthal;128;-;3;13;35;43;19;15
13053021;Glasewitz;151;3;9;19;43;41;9;27
13053022;Gnoien, Stadt;1639;51;170;344;415;304;157;198
13053026;Groß Roge;303;9;18;51;36;60;68;61
13053027;Groß Schwiesow;159;-;7;28;43;34;28;19
13053028;Groß Wokern;494;13;43;83;109;111;80;55
13053029;Groß Wüstenfelde;325;3;15;25;53;70;55;104
13053031;Güstrow, Stadt;17001;523;1641;5160;5796;2404;978;499
13053032;Gutow;483;6;25;82;104;128;76;62
13053033;Hohen Demzin;191;3;30;38;40;36;21;23
13053034;Hohen Sprenz;270;3;20;49;46;56;52;44
13053035;Hoppenrade;316;4;19;43;50;105;64;31
13053036;Jördenstorf;496;24;56;121;84;71;74;66
13053037;Jürgenshagen;549;30;30;94;136;99;76;84
13053039;Klein Belitz;401;9;9;60;118;90;65;50
13053041;Klein Upahl;104;-;-;11;22;32;32;7
13053043;Krakow am See, Stadt;1902;40;137;453;524;364;208;176
13053044;Kuchelmiß;408;9;63;48;101;74;56;57
13053045;Kuhs;159;-;12;38;39;45;15;10
13053047;Laage, Stadt;2780;34;188;563;882;598;307;208
13053048;Lalendorf;1527;49;154;337;312;291;203;181
13053049;Langhagen;334;6;39;82;48;78;47;34
13053050;Lelkendorf;273;3;30;79;42;44;43;32
13053054;Lohmen;390;30;24;67;106;77;56;30
13053056;Lühburg;123;-;6;38;31;29;9;10
13053057;Lüssow;448;-;44;102;93;113;63;33
13053060;Mistorf;268;3;-;32;83;80;38;32
13053062;Mühl Rosin;495;3;12;73;106;120;105;76
13053067;Penzin;78;-;6;15;12;21;15;9
13053068;Plaaz;381;32;13;58;84;106;45;43
13053075;Reimershagen;210;-;10;27;74;57;13;29
13053078;Rühn;289;-;19;42;61;70;47;50
13053080;Sarmstorf;227;3;9;27;64;49;60;15
13053083;Steinhagen;1123;15;50;110;223;389;205;131
13053086;Tarnow;532;-;24;102;111;128;87;80
13053087;Teterow, Stadt;4713;95;707;1476;1119;683;376;257
13053088;Thürkow;177;8;19;28;31;53;32;6
13053091;Walkendorf;225;-;21;34;65;60;29;16
13053092;Wardow;576;-;35;83;145;131;92;90
13053093;Warnkenhagen;185;9;25;45;18;45;29;14
13053094;Warnow;477;-;21;74;166;99;56;61
13053095;Wasdow;210;3;9;29;55;50;31;33
13053098;Zehna;322;3;16;62;102;65;40;34
13053099;Zepelin;213;6;7;24;31;57;43;45
13053102;Dobbin-Linstow;283;6;18;50;85;72;31;21
13053103;Dolgen am See;321;4;18;45;68;92;63;31
13053104;Gülzow-Prüzen;812;16;25;119;241;186;143;82
13053105;Schorssow;323;12;54;70;83;37;37;30
13053106;Schwasdorf;254;12;23;50;28;71;35;35
13053107;Sukow-Levitzow;199;3;7;30;47;38;21;53
13053109;Prebberede;357;9;33;69;73;78;53;42
13054001;Alt Krenzlin;316;4;6;14;74;105;57;56
13054002;Alt Zachun;170;-;22;25;38;33;30;22
13054003;Balow;146;-;-;13;33;51;27;22
13054004;Bandenitz;203;-;-;26;45;43;52;37
13054007;Belsch;116;4;3;30;28;16;6;29
13054009;Besitz;210;6;3;19;52;42;37;51
13054010;Blievenstorf;200;-;10;33;40;62;30;25
13054011;Bobzin;113;-;4;10;20;34;21;24
13054013;Boizenburg/Elbe, Stadt;5690;118;900;1446;1606;841;471;308
13054014;Brahlstorf;346;-;18;51;70;100;68;39
13054015;Brenz;223;6;3;18;48;60;42;46
13054016;Bresegard bei Picher;142;-;-;18;21;33;23;47
13054017;Bresegard bei Eldena;107;-;12;7;36;13;19;20
13054018;Brunow;152;-;3;16;39;34;31;29
13054021;Dambeck;143;-;3;16;39;36;14;35
13054022;Dersenow;207;-;3;27;56;40;46;35
13054024;Dömitz, Stadt;1743;18;151;411;433;322;199;209
13054027;Dümmer;612;6;40;71;144;169;103;79
13054028;Eldena;610;6;9;85;153;136;131;90
13054030;Gallin;244;3;12;47;43;73;37;29
13054031;Gammelin;199;-;9;20;54;55;30;31
13054034;Göhlen;192;4;3;34;47;34;34;36
13054035;Gorlosen;243;7;3;26;63;61;39;44
13054037;Grabow, Stadt;3405;48;327;804;1212;555;269;190
13054039;Gresse;282;-;13;34;69;62;44;60
13054040;Greven;343;-;42;59;82;84;43;33
13054041;Groß Krams;83;-;4;14;26;12;6;21
13054042;Groß Laasch;452;6;21;86;86;73;88;92
13054043;Hagenow, Stadt;6491;206;1075;1713;1778;1012;391;316
13054045;Holthusen;370;6;-;34;107;111;49;63
13054046;Hoort;246;6;6;23;61;73;54;23
13054047;Hülseburg;72;4;-;14;26;12;13;3
13054049;Karenz;129;-;6;33;25;25;18;22
13054051;Karstädt;265;-;11;39;68;67;29;51
13054052;Kirch Jesar;249;4;9;33;42;64;55;42
13054054;Klein Rogahn;550;-;6;58;85;215;115;71
13054056;Kogel;272;-;11;45;64;67;58;27
13054057;Körchow;372;10;21;44;88;77;70;62
13054058;Kremmin;126;-;3;12;43;33;13;22
13054060;Kuhstorf;344;9;22;23;67;104;74;45
13054063;Lehsen;146;4;10;21;22;43;27;19
13054064;Leussow;127;-;-;10;31;25;35;26
13054065;Lübesse;313;-;6;42;61;106;65;33
13054066;Lüblow;266;-;7;23;46;77;64;49
13054067;Lübtheen, Stadt;2265;19;130;460;604;492;290;270
13054069;Ludwigslust, Stadt;6510;243;659;1660;1786;1007;661;494
13054071;Malk Göhren;215;3;3;18;53;60;32;46
13054072;Malliß;710;12;61;153;205;143;70;66
13054074;Milow;167;-;9;25;25;37;28;43
13054075;Möllenbeck;98;-;-;0;30;36;9;23
13054076;Moraas;214;-;27;27;32;47;50;31
13054077;Muchow;158;-;3;38;29;34;25;29
13054078;Neu Gülze;316;3;9;48;54;88;64;50
13054079;Neu Kaliß;1003;6;84;227;218;192;150;126
13054081;Neustadt-Glewe, Stadt;3440;122;399;785;996;631;304;203
13054083;Nostorf;184;-;10;34;54;65;6;15
13054084;Pampow;1391;54;128;268;259;384;189;109
13054086;Pätow-Steegen;161;-;4;19;20;53;33;32
13054087;Picher;304;9;17;48;78;63;34;55
13054089;Prislich;353;3;16;93;73;75;61;32
13054090;Pritzier;257;-;18;54;74;68;27;16
13054091;Rastow;777;-;31;83;160;250;134;119
13054092;Redefin;275;19;22;56;49;56;38;35
13054095;Schossin;117;-;-;15;23;22;21;36
13054096;Schwanheide;355;3;38;58;90;104;29;33
13054097;Setzin;252;3;17;60;47;61;29;35
13054098;Steesow;96;3;3;12;13;33;12;20
13054099;Stralendorf;591;-;18;99;136;144;132;62
13054100;Strohkirchen;135;-;7;24;34;28;12;30
13054101;Sülstorf;373;-;10;39;83;110;67;64
13054102;Teldau;364;-;25;54;79;78;66;62
13054103;Tessin b. Boizenburg;171;-;3;26;28;40;42;32
13054106;Toddin;213;-;4;28;35;57;59;30
13054107;Uelitz;190;-;9;32;30;58;30;31
13054109;Vellahn;1204;6;45;179;250;310;221;193
13054110;Vielank;656;3;10;56;157;182;122;126
13054111;Warlitz;203;-;7;29;43;51;48;25
13054112;Warlow;207;-;6;22;59;37;34;49
13054113;Warsow;286;-;3;36;59;83;65;40
13054117;Wittenburg, Stadt;2617;38;312;626;713;429;276;223
13054118;Wittenförden;1161;3;44;112;273;390;214;125
13054119;Wöbbelin;433;16;52;71;82;105;71;36
13054121;Zarrentin am Schaalsee, Stadt;2344;61;221;495;560;498;274;235
13054122;Zierzow;202;3;3;30;45;52;35;34
13054123;Zülow;71;-;3;6;13;15;15;19
13054124;Wittendörp;1241;23;56;171;241;289;200;261
13054125;Grebs-Niendorf;264;-;9;21;47;56;49;82
13054126;Lüttow-Valluhn;384;18;33;62;76;93;39;63
13054127;Bengerstorf;227;-;24;21;29;53;44;56
13055002;Beseritz;65;-;-;6;9;23;20;7
13055003;Blankenhof;332;7;16;72;57;80;75;25
13055004;Blankensee;802;34;91;119;152;193;121;92
13055005;Blumenholz;341;7;7;46;61;79;81;60
13055008;Brunn;511;6;50;105;82;116;90;62
13055009;Burg Stargard, Stadt;2413;45;193;528;625;522;291;209
13055010;Cammin;155;-;15;15;56;32;16;21
13055011;Carpin;442;7;54;77;101;89;72;42
13055012;Cölpin;482;6;34;128;113;77;60;64
13055020;Friedland, Stadt;3633;66;296;1049;1303;506;248;165
13055021;Genzkow;68;-;-;7;34;9;15;3
13055022;Glienke;56;-;-;10;9;16;14;7
13055023;Godendorf;131;-;17;17;32;17;27;21
13055028;Groß Nemerow;620;18;33;126;122;148;89;84
13055029;Grünow;165;6;18;36;35;39;19;12
13055032;Hohenzieritz;259;7;21;67;41;54;54;15
13055033;Holldorf;357;10;16;22;80;100;69;60
13055035;Klein Vielen;340;22;25;62;48;92;40;51
13055037;Kratzeburg;259;-;27;52;43;52;46;39
13055039;Kublank;102;-;10;23;29;21;7;12
13055043;Mildenitz;200;-;6;19;54;64;22;35
13055044;Mirow, Stadt;1880;53;150;445;542;362;181;147
13055045;Möllenbeck;366;21;50;50;93;63;47;42
13055046;Neddemin;150;3;9;24;32;25;37;20
13055047;Neetzka;144;-;6;30;48;22;29;9
13055049;Neuenkirchen;514;3;44;56;106;142;111;52
13055050;Neustrelitz, Stadt;12268;636;2605;4448;2438;1057;640;444
13055051;Neverin;483;3;53;81;75;114;77;80
13055053;Petersdorf;72;-;-;18;22;16;10;6
13055054;Pragsdorf;267;19;16;75;74;43;33;7
13055055;Priepert;177;3;10;59;49;16;19;21
13055058;Roggentin;327;-;18;64;70;63;60;52
13055061;Schönbeck;229;-;9;25;71;67;33;24
13055062;Schönhausen;137;-;7;47;28;19;26;10
13055066;Staven;254;12;42;46;56;44;32;22
13055068;Teschendorf;-;-;-;-;-;-;-;-
13055069;Trollenhagen;401;-;29;54;74;99;90;55
13055070;Userin;338;3;15;55;71;81;73;40
13055071;Voigtsdorf;78;-;3;18;15;24;12;6
13055074;Wesenberg,Stadt;1701;37;162;430;509;286;143;134
13055076;Woggersin;225;3;9;17;17;91;59;29
13055078;Woldegk, Stadt;2005;43;204;553;493;332;236;144
13055079;Wulkenzin;656;3;32;84;126;189;137;85
13055080;Wustrow;395;3;15;104;136;79;43;15
13055081;Zirzow;153;12;13;31;17;36;35;9
13055082;Feldberger Seenlandschaft;2404;47;246;535;552;504;299;221
13055083;Groß Miltzow;587;9;27;121;159;148;80;43
13055084;Helpt;205;3;10;39;76;53;9;15
13055085;Eichhorst;243;-;9;52;60;82;19;21
13055086;Wokuhl-Dabelow;306;3;27;77;60;69;44;26
13055087;Lindetal;589;6;32;142;139;145;94;31
13055088;Datzetal;431;12;19;60;111;106;54;69
13055089;Galenbeck;663;7;77;140;161;148;81;49
13055090;Sponholz;370;0;42;85;80;93;45;25
13056004;Alt Schwerin;268;-;27;56;70;52;33;30
13056005;Altenhof;191;-;3;56;56;24;28;24
13056006;Ankershagen;324;-;9;70;104;72;36;33
13056007;Bollewick;296;-;18;59;64;59;45;51
13056008;Buchholz;76;-;7;13;18;16;6;16
13056009;Bütow;237;3;25;38;78;59;22;12
13056010;Fincken;260;-;3;37;84;49;42;45
13056011;Göhren-Lebbin;356;7;45;56;81;97;33;37
13056012;Gotthun;146;3;9;28;30;46;15;15
13056013;Grabow-Below;65;-;3;21;17;12;8;4
13056014;Grabowhöfe;464;6;12;104;134;113;52;43
13056015;Groß Dratow;179;-;9;18;57;44;32;19
13056016;Groß Flotow;-;-;-;-;-;-;-;-
13056017;Groß Gievitz;236;-;22;40;48;58;35;33
13056018;Groß Kelle;56;-;-;10;12;28;3;3
13056019;Groß Plasten;362;-;27;74;96;81;62;22
13056020;Groß Vielen;-;-;-;-;-;-;-;-
13056022;Hinrichshagen;75;-;6;19;18;10;9;13
13056023;Hohen Wangelin;369;3;26;109;85;82;32;32
13056024;Jabel;277;-;11;73;65;80;28;20
13056025;Jaebetz;-;-;-;-;-;-;-;-
13056026;Kambs;-;-;-;-;-;-;-;-
13056027;Kargow;329;3;33;76;61;63;48;45
13056028;Kieve;78;4;4;6;23;13;10;18
13056029;Klein Lukow;-;-;-;-;-;-;-;-
13056030;Klink;515;3;45;128;112;114;46;67
13056031;Klocksin;184;3;-;49;55;32;18;27
13056033;Krukow;76;-;-;9;26;15;6;20
13056035;Lapitz;71;-;3;10;9;25;20;4
13056036;Lärz;254;7;27;38;43;75;54;10
13056037;Leizen;235;-;9;47;47;61;41;30
13056039;Ludorf;231;-;3;49;58;66;27;28
13056041;Malchow, Stadt;3750;80;501;972;1233;550;245;169
13056042;Mallin;186;-;9;42;44;40;38;13
13056043;Marihn;-;-;-;-;-;-;-;-
13056044;Massow;92;3;3;15;12;22;17;20
13056045;Melz;177;6;23;28;30;53;24;13
13056047;Möllenhagen;918;7;48;206;317;181;111;48
13056048;Mollenstorf;-;-;-;-;-;-;-;-
13056049;Moltzow;186;-;14;35;67;28;21;21
13056050;Neu Gaarz;71;4;9;18;6;21;13;-
13056051;Nossentiner Hütte;347;4;22;69;111;55;57;29
13056052;Penkow;137;3;31;24;12;45;16;6
13056053;Penzlin, Stadt;2122;66;183;493;639;398;186;157
13056054;Priborn;218;18;36;59;42;40;20;3
13056055;Puchow;67;-;3;12;25;18;6;3
13056056;Rechlin;1152;45;140;252;272;238;142;63
13056057;Röbel/Müritz, Stadt;2793;53;211;756;930;467;228;148
13056060;Schloen;204;3;17;30;42;54;43;15
13056061;Schwarz;181;4;9;33;52;27;25;31
13056062;Schwinkendorf;298;7;33;71;67;67;37;16
13056063;Sietow;288;-;3;61;86;66;24;48
13056064;Silz;186;-;6;37;55;54;16;18
13056065;Stuer;161;3;4;40;42;40;7;25
13056066;Torgelow am See;186;3;4;22;46;58;29;24
13056067;Varchentin;144;-;-;21;32;42;27;22
13056068;Vielist;208;12;16;19;46;52;45;18
13056069;Vipperow;192;4;9;32;49;50;23;25
13056070;Vollrathsruhe;240;4;19;52;82;34;34;15
13056071;Walow;263;3;9;55;57;54;39;46
13056072;Waren (Müritz), Stadt;11462;136;1417;3168;3719;1763;756;503
13056073;Wredenhagen;242;3;16;41;81;43;29;29
13056074;Zepkow;90;-;3;20;12;22;14;19
13056075;Zislow;122;11;12;32;32;13;10;12
13056076;Fünfseen;622;-;51;121;190;119;70;71
13056077;Lansen-Schönau;234;-;18;44;46;66;24;36
13057002;Ahrenshoop;573;7;111;115;112;111;60;57
13057005;Altenpleen;474;9;52;62;140;121;58;32
13057006;Bad Sülze, Stadt;1013;9;138;199;306;187;92;82
13057008;Bartelshagen II b. Barth;199;3;3;39;46;38;28;42
13057009;Barth, Stadt;5070;306;968;1612;1019;675;305;185
13057011;Behnkendorf;-;-;-;-;-;-;-;-
13057013;Born a. Darß;702;12;36;118;168;174;97;97
13057014;Brandshagen;-;-;-;-;-;-;-;-
13057020;Dettmannsdorf;533;7;49;95;144;103;79;56
13057021;Deyelsdorf;246;-;7;55;70;55;34;25
13057022;Dierhagen;1004;18;67;259;256;175;115;114
13057024;Drechow;127;-;6;33;31;16;25;16
13057026;Eixen;381;9;28;62;89;76;67;50
13057027;Elmenhorst;341;-;23;75;87;88;39;29
13057028;Franzburg, Stadt;874;3;69;238;274;183;59;48
13057029;Fuhlendorf;432;6;16;57;94;113;73;73
13057030;Glewitz;269;-;21;45;74;43;48;38
13057031;Grammendorf;290;11;9;31;91;56;58;34
13057032;Gransebieth;263;-;12;40;80;53;40;38
13057036;Grimmen, Stadt;5971;361;1581;1195;1398;710;440;286
13057037;Groß Kordshagen;166;-;10;31;35;15;25;50
13057038;Groß Mohrdorf;363;-;13;61;112;89;35;53
13057039;Horst;-;-;-;-;-;-;-;-
13057040;Hugoldsdorf;70;-;7;13;13;21;6;10
13057041;Jakobsdorf;230;-;4;15;60;92;35;24
13057043;Karnin;106;-;3;21;10;41;13;18
13057046;Kirchdorf;-;-;-;-;-;-;-;-
13057047;Klausdorf;317;-;16;48;86;83;50;34
13057049;Kramerhof;808;9;44;162;188;217;114;74
13057051;Kummerow;176;4;12;30;41;50;30;9
13057054;Löbnitz;371;18;38;65;77;81;43;49
13057055;Lüdershagen;272;6;12;54;60;56;47;37
13057056;Lüssow;384;-;19;47;103;115;66;34
13057057;Marlow, Stadt;2308;30;224;364;565;572;308;245
13057059;Miltzow;-;-;-;-;-;-;-;-
13057060;Neu Bartelshagen;176;3;15;22;39;61;23;13
13057062;Niepars;863;7;36;188;232;227;109;64
13057064;Pantelitz;344;3;6;70;87;74;71;33
13057065;Papenhagen;286;-;29;44;57;75;30;51
13057067;Preetz;463;-;61;64;94;119;54;71
13057068;Prerow;1118;45;122;263;218;192;172;106
13057069;Prohn;891;6;85;199;208;205;117;71
13057070;Pruchten;407;-;18;86;93;109;68;33
13057073;Reinberg;-;-;-;-;-;-;-;-
13057074;Ribnitz-Damgarten, Stadt;8086;183;921;2066;2288;1385;796;447
13057075;Richtenberg, Stadt;736;9;67;169;182;176;59;74
13057076;Saal;586;3;15;83;205;163;59;58
13057077;Schlemmin;183;-;16;51;23;37;34;22
13057079;Semlow;398;4;24;132;75;87;51;25
13057081;Splietsdorf;252;-;6;55;80;49;39;23
13057083;Steinhagen;374;9;23;92;111;69;38;32
13057085;Tribsees, Stadt;1468;24;126;409;409;277;142;81
13057086;Trinwillershagen;568;3;9;105;145;152;95;59
13057087;Velgast;990;18;135;278;220;198;83;58
13057088;Weitenhagen;127;3;-;24;48;19;19;14
13057089;Wendisch Baggendorf;241;3;3;18;60;73;69;15
13057090;Wendorf;373;-;7;50;63;109;77;67
13057091;Wieck a. Darß;437;12;31;77;101;64;58;94
13057092;Wilmshagen;-;-;-;-;-;-;-;-
13057093;Wittenhagen;582;12;10;86;182;155;94;43
13057094;Wustrow;739;6;100;172;170;108;81;102
13057095;Zarrendorf;465;-;9;72;98;139;87;60
13057096;Zingst;2267;15;328;632;550;317;251;174
13057097;Süderholz;1862;6;52;361;449;473;298;223
13057098;Divitz-Spoldershagen;200;3;9;31;53;65;26;13
13057099;Gremersdorf-Buchholz;328;-;3;66;77;96;52;34
13057100;Millienhagen-Oebelitz;184;6;7;34;70;33;22;12
13057101;Kenz-Küstrow;262;6;12;51;78;52;35;28
13057102;Ahrenshagen-Daskow;907;6;40;109;202;213;200;137
13057103;Lindholz;337;-;26;79;91;67;43;31
13057104;Sundhagen;2562;43;92;483;800;538;364;242
13058001;Alt Meteln;585;18;36;109;106;140;86;90
13058003;Bad Kleinen;1819;60;189;475;403;364;215;113
13058004;Badow;-;-;-;-;-;-;-;-
13058005;Barnekow;293;3;12;54;53;99;37;35
13058007;Benz;251;-;13;24;78;64;32;40
13058008;Bernstorf;146;3;24;15;50;23;17;14
13058009;Bibow;126;-;12;28;19;26;24;17
13058010;Blowatz;562;15;37;154;109;118;82;47
13058012;Boiensdorf;269;6;6;57;73;67;26;34
13058014;Boltenhagen;1837;28;309;555;431;306;95;113
13058015;Börzow;295;-;18;25;75;67;63;47
13058016;Brüsewitz;997;4;44;168;252;260;157;112
13058018;Carlow;550;-;30;91;126;132;87;84
13058019;Cramonshagen;229;-;12;12;56;63;55;31
13058020;Dalberg-Wendelstorf;233;-;7;29;59;66;53;19
13058021;Damshagen;-;-;-;-;-;-;-;-
13058022;Dassow, Stadt;1962;34;117;419;461;483;292;156
13058023;Dechow;93;-;3;27;10;28;13;12
13058025;Dorf Mecklenburg;1346;12;69;230;414;298;201;122
13058026;Dragun;372;-;27;60;87;84;43;71
