GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15087200;Heiligenthal;-;-;-;-;-;-;-;-;-;-;-
15087205;Helbra;1317;539;254;281;84;35;29;49;25;12;9
15087210;Hergisdorf;674;319;165;66;37;16;21;22;22;3;3
15087215;Hermerode;-;-;-;-;-;-;-;-;-;-;-
15087220;Hettstedt, Stadt;3773;1168;790;941;225;109;89;251;132;53;15
15087225;Holdenstedt;-;-;-;-;-;-;-;-;-;-;-
15087230;Hornburg b. Lutherstadt Eisleben;-;-;-;-;-;-;-;-;-;-;-
15087235;Hübitz;-;-;-;-;-;-;-;-;-;-;-
15087240;Ihlewitz;-;-;-;-;-;-;-;-;-;-;-
15087245;Katharinenrieth;-;-;-;-;-;-;-;-;-;-;-
15087250;Kelbra (Kyffhäuser), Stadt;1311;388;239;330;134;40;57;70;34;12;7
15087255;Kleinleinungen;-;-;-;-;-;-;-;-;-;-;-
15087260;Klostermansfeld;914;339;271;93;66;37;27;36;29;9;7
15087265;Liedersdorf;-;-;-;-;-;-;-;-;-;-;-
15087270;Lüttchendorf;-;-;-;-;-;-;-;-;-;-;-
15087275;Mansfeld, Stadt;3620;1262;798;758;320;140;106;143;40;46;7
15087280;Martinsrieth;-;-;-;-;-;-;-;-;-;-;-
15087285;Mittelhausen;-;-;-;-;-;-;-;-;-;-;-
15087290;Molmerswende;-;-;-;-;-;-;-;-;-;-;-
15087295;Neehausen;-;-;-;-;-;-;-;-;-;-;-
15087300;Niederröblingen (Helme);-;-;-;-;-;-;-;-;-;-;-
15087305;Nienstedt;-;-;-;-;-;-;-;-;-;-;-
15087310;Osterhausen;-;-;-;-;-;-;-;-;-;-;-
15087315;Pölsfeld;-;-;-;-;-;-;-;-;-;-;-
15087320;Quenstedt;-;-;-;-;-;-;-;-;-;-;-
15087325;Questenberg;-;-;-;-;-;-;-;-;-;-;-
15087330;Riethnordhausen b. Sangerhausen;-;-;-;-;-;-;-;-;-;-;-
15087335;Ritterode;-;-;-;-;-;-;-;-;-;-;-
15087340;Ritzgerode;-;-;-;-;-;-;-;-;-;-;-
15087345;Röblingen am See;-;-;-;-;-;-;-;-;-;-;-
15087350;Roßla;-;-;-;-;-;-;-;-;-;-;-
15087355;Rottelsdorf;-;-;-;-;-;-;-;-;-;-;-
15087360;Rottleberode;-;-;-;-;-;-;-;-;-;-;-
15087365;Sandersleben (Anhalt);-;-;-;-;-;-;-;-;-;-;-
15087370;Sangerhausen, Stadt;6217;1452;1047;1726;481;246;299;559;216;149;42
15087375;Schmalzerode;-;-;-;-;-;-;-;-;-;-;-
15087380;Schwenda;-;-;-;-;-;-;-;-;-;-;-
15087385;Seeburg b. Lutherstadt Eisleben;-;-;-;-;-;-;-;-;-;-;-
15087386;Seegebiet Mansfelder Land;3214;1116;866;605;106;58;99;240;86;28;10
15087390;Siersleben;-;-;-;-;-;-;-;-;-;-;-
15087395;Sotterhausen;-;-;-;-;-;-;-;-;-;-;-
15087400;Stangerode;-;-;-;-;-;-;-;-;-;-;-
15087405;Stedten;-;-;-;-;-;-;-;-;-;-;-
15087410;Stolberg (Harz);-;-;-;-;-;-;-;-;-;-;-
15087412;Südharz;3561;1207;521;846;368;172;162;157;82;26;20
15087415;Sylda;-;-;-;-;-;-;-;-;-;-;-
15087420;Tilleda (Kyffhäuser);-;-;-;-;-;-;-;-;-;-;-
15087425;Uftrungen;-;-;-;-;-;-;-;-;-;-;-
15087430;Ulzigerode;-;-;-;-;-;-;-;-;-;-;-
15087435;Walbeck b. Hettstedt, Sachs-Anh;-;-;-;-;-;-;-;-;-;-;-
15087440;Wallhausen;875;259;157;195;64;36;58;76;20;3;7
15087445;Wansleben am See;-;-;-;-;-;-;-;-;-;-;-
15087450;Welbsleben;-;-;-;-;-;-;-;-;-;-;-
15087455;Welfesholz;-;-;-;-;-;-;-;-;-;-;-
15087460;Wickerode;-;-;-;-;-;-;-;-;-;-;-
15087465;Wiederstedt;-;-;-;-;-;-;-;-;-;-;-
15087470;Wimmelburg;498;199;137;78;0;3;9;47;21;4;-
15087475;Winkel;-;-;-;-;-;-;-;-;-;-;-
15087485;Wolferstedt;-;-;-;-;-;-;-;-;-;-;-
15087490;Zabenstedt;-;-;-;-;-;-;-;-;-;-;-
15088005;Albersroda;-;-;-;-;-;-;-;-;-;-;-
15088010;Alberstedt;-;-;-;-;-;-;-;-;-;-;-
15088015;Angersdorf;-;-;-;-;-;-;-;-;-;-;-
15088020;Bad Dürrenberg, Stadt;2841;556;1061;528;90;67;107;273;94;43;22
15088025;Bad Lauchstädt, Goethestadt;2801;764;655;529;155;53;119;329;114;66;17
15088030;Barnstädt;363;122;44;103;22;24;23;9;10;3;3
15088035;Beesenstedt;-;-;-;-;-;-;-;-;-;-;-
15088040;Bennstedt;-;-;-;-;-;-;-;-;-;-;-
15088045;Beuna (Geiseltal);-;-;-;-;-;-;-;-;-;-;-
15088050;Brachstedt;-;-;-;-;-;-;-;-;-;-;-
15088055;Brachwitz b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088060;Braschwitz;-;-;-;-;-;-;-;-;-;-;-
15088065;Braunsbedra, Stadt;2747;388;857;829;125;68;55;220;116;59;30
15088075;Döblitz;-;-;-;-;-;-;-;-;-;-;-
15088080;Domnitz;-;-;-;-;-;-;-;-;-;-;-
15088085;Dornstedt;-;-;-;-;-;-;-;-;-;-;-
15088095;Esperstedt b. Querfurt;-;-;-;-;-;-;-;-;-;-;-
15088100;Farnstädt;597;182;101;164;50;18;21;33;9;16;3
15088105;Fienstedt;-;-;-;-;-;-;-;-;-;-;-
15088110;Friedensdorf;-;-;-;-;-;-;-;-;-;-;-
15088115;Geusa;-;-;-;-;-;-;-;-;-;-;-
15088120;Gimritz;-;-;-;-;-;-;-;-;-;-;-
15088125;Götschetal;-;-;-;-;-;-;-;-;-;-;-
15088130;Günthersdorf b. Merseburg;-;-;-;-;-;-;-;-;-;-;-
15088135;Hohenthurm;-;-;-;-;-;-;-;-;-;-;-
15088140;Höhnstedt;-;-;-;-;-;-;-;-;-;-;-
15088145;Horburg-Maßlau;-;-;-;-;-;-;-;-;-;-;-
15088150;Kabelsketal;2369;530;362;231;69;46;496;384;142;76;33
15088160;Kloschwitz;-;-;-;-;-;-;-;-;-;-;-
15088165;Kötschlitz;-;-;-;-;-;-;-;-;-;-;-
15088170;Kötzschau;-;-;-;-;-;-;-;-;-;-;-
15088175;Kreypau;-;-;-;-;-;-;-;-;-;-;-
15088180;Krosigk;-;-;-;-;-;-;-;-;-;-;-
15088190;Kütten;-;-;-;-;-;-;-;-;-;-;-
15088195;Landsberg, Stadt;4821;1169;680;731;252;101;431;968;292;156;41
15088200;Langenbogen;-;-;-;-;-;-;-;-;-;-;-
15088205;Leuna, Stadt;4125;786;1680;593;131;61;321;348;116;64;25
15088210;Lieskau b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088215;Löbejün;-;-;-;-;-;-;-;-;-;-;-
15088216;Wettin-Löbejün, Stadt;3587;1348;514;676;288;98;198;274;112;73;6
15088220;Merseburg, Stadt;6325;690;2295;1573;171;53;210;891;209;173;60
15088225;Milzau;-;-;-;-;-;-;-;-;-;-;-
15088230;Morl;-;-;-;-;-;-;-;-;-;-;-
15088235;Mücheln (Geiseltal), Stadt;2765;698;903;743;124;63;71;76;56;25;6
15088240;Nauendorf b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088245;Nempitz;-;-;-;-;-;-;-;-;-;-;-
15088250;Nemsdorf-Göhrendorf;325;122;60;58;20;18;22;3;9;13;-
15088255;Neutz-Lettewitz;-;-;-;-;-;-;-;-;-;-;-
15088260;Niemberg;-;-;-;-;-;-;-;-;-;-;-
15088265;Obhausen;845;277;188;223;52;29;23;33;9;11;-
15088275;Oechlitz;-;-;-;-;-;-;-;-;-;-;-
15088280;Oppin;-;-;-;-;-;-;-;-;-;-;-
15088285;Ostrau b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088290;Peißen b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088295;Petersberg;3413;881;456;670;241;95;201;584;181;76;28
15088300;Plötz b. Halle, Saale;-;-;-;-;-;-;-;-;-;-;-
15088305;Querfurt, Stadt;3262;1047;440;885;336;91;152;194;59;45;13
15088310;Rodden;-;-;-;-;-;-;-;-;-;-;-
15088315;Rothenburg;-;-;-;-;-;-;-;-;-;-;-
15088319;Salzatal;3989;947;546;635;214;129;312;905;196;84;21
15088320;Salzmünde;-;-;-;-;-;-;-;-;-;-;-
15088330;Schkopau;3335;809;726;421;87;65;339;591;171;95;31
15088335;Schochwitz;-;-;-;-;-;-;-;-;-;-;-
15088340;Schraplau, Stadt;442;118;124;118;27;15;14;10;10;3;3
15088345;Schwerz;-;-;-;-;-;-;-;-;-;-;-
15088350;Spergau;-;-;-;-;-;-;-;-;-;-;-
15088355;Steigra;448;172;54;119;44;13;34;12;-;-;-
15088360;Steuden;-;-;-;-;-;-;-;-;-;-;-
15088365;Teutschenthal;4391;869;754;675;236;87;378;1035;221;98;38
15088370;Tollwitz;-;-;-;-;-;-;-;-;-;-;-
15088375;Wallendorf (Luppe);-;-;-;-;-;-;-;-;-;-;-
15088380;Wettin;-;-;-;-;-;-;-;-;-;-;-
15088385;Zappendorf;-;-;-;-;-;-;-;-;-;-;-
15088390;Zöschen;-;-;-;-;-;-;-;-;-;-;-
15088395;Zweimen;-;-;-;-;-;-;-;-;-;-;-
15089005;Alsleben (Saale), Stadt;911;403;166;166;61;15;47;41;9;3;-
15089010;Amesdorf;-;-;-;-;-;-;-;-;-;-;-
15089015;Aschersleben, Stadt;6139;1924;1295;1242;378;151;379;448;197;85;40
15089020;Baalberge;-;-;-;-;-;-;-;-;-;-;-
15089025;Barby (Elbe);-;-;-;-;-;-;-;-;-;-;-
15089026;Barby, Stadt;3248;1386;702;425;207;112;135;173;65;33;10
15089030;Bernburg (Saale), Stadt;8161;2678;2314;1176;435;220;305;568;304;120;41
15089035;Biendorf b. Bernburg;-;-;-;-;-;-;-;-;-;-;-
15089041;Bördeaue;685;312;161;71;53;9;21;45;7;6;-
15089042;Bördeland;2677;868;625;280;128;84;243;231;120;70;28
15089043;Börde-Hakel;1079;431;247;137;45;27;75;63;23;22;9
15089045;Borne;493;229;57;50;40;31;36;22;12;7;9
15089050;Breitenhagen;-;-;-;-;-;-;-;-;-;-;-
15089055;Calbe (Saale), Stadt;2328;811;489;497;159;43;76;142;77;24;10
15089060;Cörmigk;-;-;-;-;-;-;-;-;-;-;-
15089070;Edlau;-;-;-;-;-;-;-;-;-;-;-
15089075;Egeln, Stadt;1034;374;241;157;63;16;116;31;18;12;6
15089090;Etgersleben;-;-;-;-;-;-;-;-;-;-;-
15089095;Förderstedt;-;-;-;-;-;-;-;-;-;-;-
15089105;Friedrichsaue;-;-;-;-;-;-;-;-;-;-;-
15089110;Frose;-;-;-;-;-;-;-;-;-;-;-
15089115;Gatersleben;-;-;-;-;-;-;-;-;-;-;-
15089120;Gerbitz;-;-;-;-;-;-;-;-;-;-;-
15089125;Gerlebogk;-;-;-;-;-;-;-;-;-;-;-
15089130;Giersleben;395;173;89;70;17;13;24;6;-;3;-
15089135;Glinde b. Schönebeck, Elbe;-;-;-;-;-;-;-;-;-;-;-
15089140;Gnadau;-;-;-;-;-;-;-;-;-;-;-
15089145;Gröna;-;-;-;-;-;-;-;-;-;-;-
15089150;Groß Rosenburg;-;-;-;-;-;-;-;-;-;-;-
15089155;Groß Schierstedt;-;-;-;-;-;-;-;-;-;-;-
15089165;Güsten, Stadt;1540;594;459;200;60;35;49;76;47;17;3
15089170;Hakeborn;-;-;-;-;-;-;-;-;-;-;-
15089175;Hecklingen, Stadt;2422;1000;536;312;124;40;105;200;57;38;10
15089180;Hoym;-;-;-;-;-;-;-;-;-;-;-
15089185;Ilberstedt;438;192;88;96;18;9;16;10;3;3;3
15089195;Könnern, Stadt;3334;1457;704;607;124;56;141;130;51;55;9
15089200;Latdorf;-;-;-;-;-;-;-;-;-;-;-
15089205;Lödderitz;-;-;-;-;-;-;-;-;-;-;-
15089215;Nachterstedt;-;-;-;-;-;-;-;-;-;-;-
15089220;Neu Königsaue;-;-;-;-;-;-;-;-;-;-;-
15089225;Neugattersleben;-;-;-;-;-;-;-;-;-;-;-
15089230;Neundorf (Anhalt);-;-;-;-;-;-;-;-;-;-;-
15089235;Nienburg (Saale), Stadt;2397;953;697;377;83;31;65;91;50;36;14
15089240;Peißen b. Bernburg;-;-;-;-;-;-;-;-;-;-;-
15089245;Plötzkau;502;162;119;110;43;12;31;9;9;-;7
15089250;Plötzky;-;-;-;-;-;-;-;-;-;-;-
15089255;Pobzig;-;-;-;-;-;-;-;-;-;-;-
15089260;Poley;-;-;-;-;-;-;-;-;-;-;-
15089265;Pömmelte;-;-;-;-;-;-;-;-;-;-;-
15089270;Pretzien;-;-;-;-;-;-;-;-;-;-;-
15089275;Preußlitz;-;-;-;-;-;-;-;-;-;-;-
15089280;Ranies;-;-;-;-;-;-;-;-;-;-;-
15089285;Sachsendorf b. Schönebeck, Elbe;-;-;-;-;-;-;-;-;-;-;-
15089290;Schackenthal;-;-;-;-;-;-;-;-;-;-;-
15089295;Schackstedt;-;-;-;-;-;-;-;-;-;-;-
15089300;Schadeleben;-;-;-;-;-;-;-;-;-;-;-
15089305;Schönebeck (Elbe), Stadt;6983;1807;1806;1166;443;146;331;735;300;177;72
15089307;Seeland, Stadt;2870;983;929;482;112;89;65;101;67;32;10
15089310;Staßfurt, Stadt;7112;2391;1949;1157;315;156;418;446;190;68;22
15089315;Tarthun;-;-;-;-;-;-;-;-;-;-;-
15089320;Tornitz;-;-;-;-;-;-;-;-;-;-;-
15089325;Unseburg;-;-;-;-;-;-;-;-;-;-;-
15089330;Wedlitz;-;-;-;-;-;-;-;-;-;-;-
15089340;Wespen;-;-;-;-;-;-;-;-;-;-;-
15089345;Westdorf;-;-;-;-;-;-;-;-;-;-;-
15089350;Westeregeln;-;-;-;-;-;-;-;-;-;-;-
15089355;Wiendorf b. Könnern;-;-;-;-;-;-;-;-;-;-;-
15089360;Wohlsdorf;-;-;-;-;-;-;-;-;-;-;-
15089365;Wolmirsleben;536;212;122;48;23;10;57;37;6;18;3
15089375;Zuchau;-;-;-;-;-;-;-;-;-;-;-
15090003;Aland;587;218;111;117;29;34;21;27;18;9;3
15090005;Altenzaun;-;-;-;-;-;-;-;-;-;-;-
15090007;Altmärkische Höhe;775;316;158;135;59;21;33;24;20;9;-
15090008;Altmärkische Wische;388;84;90;129;33;18;9;21;-;4;-
15090010;Arneburg, Stadt;600;276;99;84;25;9;48;37;19;3;-
15090015;Aulosen;-;-;-;-;-;-;-;-;-;-;-
15090020;Baben;-;-;-;-;-;-;-;-;-;-;-
15090025;Badingen b. Stendal;-;-;-;-;-;-;-;-;-;-;-
15090030;Ballerstedt;-;-;-;-;-;-;-;-;-;-;-
15090035;Beelitz b. Stendal;-;-;-;-;-;-;-;-;-;-;-
15090040;Behrendorf, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090045;Bellingen b. Stendal;-;-;-;-;-;-;-;-;-;-;-
15090050;Berkau;-;-;-;-;-;-;-;-;-;-;-
15090055;Bertkow;-;-;-;-;-;-;-;-;-;-;-
15090060;Beuster;-;-;-;-;-;-;-;-;-;-;-
15090065;Birkholz b. Tangerhütte;-;-;-;-;-;-;-;-;-;-;-
15090070;Bismark (Altmark), Stadt;3162;1217;636;430;188;114;192;208;107;57;13
15090075;Bittkau;-;-;-;-;-;-;-;-;-;-;-
15090080;Bölsdorf;-;-;-;-;-;-;-;-;-;-;-
15090085;Boock, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090090;Bretsch;-;-;-;-;-;-;-;-;-;-;-
15090095;Buch b. Tangerhütte;-;-;-;-;-;-;-;-;-;-;-
15090100;Buchholz b. Gräfenhainichen;-;-;-;-;-;-;-;-;-;-;-
15090105;Büste;-;-;-;-;-;-;-;-;-;-;-
15090110;Cobbel;-;-;-;-;-;-;-;-;-;-;-
15090115;Dahlen b. Schönhausen, Elbe;-;-;-;-;-;-;-;-;-;-;-
15090120;Demker;-;-;-;-;-;-;-;-;-;-;-
15090125;Dobberkau;-;-;-;-;-;-;-;-;-;-;-
15090130;Düsedau;-;-;-;-;-;-;-;-;-;-;-
15090135;Eichstedt (Altmark);313;148;70;31;9;8;13;28;3;3;-
15090140;Erxleben b. Osterburg;-;-;-;-;-;-;-;-;-;-;-
15090145;Falkenberg, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090150;Fischbeck (Elbe);-;-;-;-;-;-;-;-;-;-;-
15090155;Flessau;-;-;-;-;-;-;-;-;-;-;-
15090160;Gagel;-;-;-;-;-;-;-;-;-;-;-
15090165;Garlipp;-;-;-;-;-;-;-;-;-;-;-
15090170;Geestgottberg;-;-;-;-;-;-;-;-;-;-;-
15090175;Gladigau;-;-;-;-;-;-;-;-;-;-;-
15090180;Goldbeck;488;158;125;75;16;22;36;41;6;9;-
15090185;Gollensdorf;-;-;-;-;-;-;-;-;-;-;-
15090190;Grassau b. Stendal;-;-;-;-;-;-;-;-;-;-;-
15090195;Grieben b. Tangerhütte;-;-;-;-;-;-;-;-;-;-;-
15090200;Grobleben;-;-;-;-;-;-;-;-;-;-;-
15090205;Groß Garz;-;-;-;-;-;-;-;-;-;-;-
15090210;Groß Schwechten;-;-;-;-;-;-;-;-;-;-;-
15090215;Hämerten;-;-;-;-;-;-;-;-;-;-;-
15090220;Hassel;337;61;33;13;18;12;107;75;6;12;-
15090225;Havelberg, Hansestadt;1904;689;259;353;153;96;122;142;56;22;12
15090230;Heeren;-;-;-;-;-;-;-;-;-;-;-
15090235;Heiligenfelde;-;-;-;-;-;-;-;-;-;-;-
15090245;Hohenberg-Krusemark;529;158;102;111;25;10;39;65;19;-;-
15090250;Hohengöhren;-;-;-;-;-;-;-;-;-;-;-
15090255;Hohenwulsch;-;-;-;-;-;-;-;-;-;-;-
15090260;Holzhausen b. Kolbe, Milde;-;-;-;-;-;-;-;-;-;-;-
15090265;Hüselitz;-;-;-;-;-;-;-;-;-;-;-
15090270;Iden;309;89;64;75;35;3;25;15;-;3;-
15090275;Insel;-;-;-;-;-;-;-;-;-;-;-
15090280;Jerchel b. Tangerhütte;-;-;-;-;-;-;-;-;-;-;-
15090285;Kamern;515;213;73;73;51;15;29;36;4;12;9
15090290;Käthen;-;-;-;-;-;-;-;-;-;-;-
15090295;Kehnert;-;-;-;-;-;-;-;-;-;-;-
15090300;Kläden b. Stendal;-;-;-;-;-;-;-;-;-;-;-
15090305;Klein Schwechten;-;-;-;-;-;-;-;-;-;-;-
15090310;Klietz;638;186;248;103;27;33;7;22;6;3;3
15090315;Königsmark;-;-;-;-;-;-;-;-;-;-;-
15090320;Könnigde;-;-;-;-;-;-;-;-;-;-;-
15090325;Kossebau;-;-;-;-;-;-;-;-;-;-;-
15090330;Kremkau;-;-;-;-;-;-;-;-;-;-;-
15090335;Krevese;-;-;-;-;-;-;-;-;-;-;-
15090340;Krüden;-;-;-;-;-;-;-;-;-;-;-
15090345;Langensalzwedel;-;-;-;-;-;-;-;-;-;-;-
15090350;Lichterfelde;-;-;-;-;-;-;-;-;-;-;-
15090355;Lindtorf;-;-;-;-;-;-;-;-;-;-;-
15090360;Losenrade;-;-;-;-;-;-;-;-;-;-;-
15090365;Losse;-;-;-;-;-;-;-;-;-;-;-
15090370;Lückstedt;-;-;-;-;-;-;-;-;-;-;-
15090375;Lüderitz;-;-;-;-;-;-;-;-;-;-;-
15090380;Meseberg, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090385;Meßdorf;-;-;-;-;-;-;-;-;-;-;-
15090390;Miltern;-;-;-;-;-;-;-;-;-;-;-
15090395;Möringen;-;-;-;-;-;-;-;-;-;-;-
15090400;Nahrstedt;-;-;-;-;-;-;-;-;-;-;-
15090405;Neuermark-Lübars;-;-;-;-;-;-;-;-;-;-;-
15090410;Neukirchen (Altmark);-;-;-;-;-;-;-;-;-;-;-
15090415;Osterburg (Altmark), Hansestadt;3173;1034;616;657;230;62;161;263;88;48;14
15090420;Pollitz;-;-;-;-;-;-;-;-;-;-;-
15090425;Querstedt;-;-;-;-;-;-;-;-;-;-;-
15090430;Ringfurth;-;-;-;-;-;-;-;-;-;-;-
15090435;Rochau;422;126;93;58;13;27;35;25;30;9;6
15090440;Rossau, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090445;Sandau (Elbe), Stadt;358;114;73;57;20;18;26;35;12;-;3
15090450;Sandauerholz;-;-;-;-;-;-;-;-;-;-;-
15090455;Sanne;-;-;-;-;-;-;-;-;-;-;-
15090460;Schäplitz;-;-;-;-;-;-;-;-;-;-;-
15090465;Schelldorf;-;-;-;-;-;-;-;-;-;-;-
15090470;Schernebeck;-;-;-;-;-;-;-;-;-;-;-
15090475;Schernikau;-;-;-;-;-;-;-;-;-;-;-
15090480;Schinne;-;-;-;-;-;-;-;-;-;-;-
15090485;Schollene;489;247;77;39;33;13;15;52;10;3;-
15090490;Schönberg, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090495;Schönfeld b. Schönhausen, Elbe;-;-;-;-;-;-;-;-;-;-;-
15090500;Schönhausen (Elbe);851;263;219;136;37;22;60;63;36;9;6
15090505;Schönwalde (Altmark);-;-;-;-;-;-;-;-;-;-;-
15090510;Schorstedt;-;-;-;-;-;-;-;-;-;-;-
15090515;Schwarzholz;-;-;-;-;-;-;-;-;-;-;-
15090520;Seehausen (Altmark), Hansestadt;1572;444;274;317;141;83;110;124;34;20;25
15090525;Staats;-;-;-;-;-;-;-;-;-;-;-
15090530;Steinfeld (Altmark);-;-;-;-;-;-;-;-;-;-;-
15090535;Stendal, Hansestadt;8137;2025;1840;1219;448;173;543;1101;466;253;69
15090540;Storkau (Elbe);-;-;-;-;-;-;-;-;-;-;-
15090545;Tangerhütte;-;-;-;-;-;-;-;-;-;-;-
15090546;Tangerhütte, Stadt;3782;1444;785;623;238;101;197;209;109;53;23
15090550;Tangermünde, Stadt;3192;1353;747;253;132;64;130;283;134;56;40
15090555;Uchtdorf;-;-;-;-;-;-;-;-;-;-;-
15090560;Uchtspringe;-;-;-;-;-;-;-;-;-;-;-
15090565;Uenglingen;-;-;-;-;-;-;-;-;-;-;-
15090570;Uetz;-;-;-;-;-;-;-;-;-;-;-
15090575;Vinzelberg;-;-;-;-;-;-;-;-;-;-;-
15090580;Volgfelde;-;-;-;-;-;-;-;-;-;-;-
15090585;Wahrenberg;-;-;-;-;-;-;-;-;-;-;-
15090590;Walsleben, Altmark;-;-;-;-;-;-;-;-;-;-;-
15090595;Wanzer;-;-;-;-;-;-;-;-;-;-;-
15090600;Weißewarte;-;-;-;-;-;-;-;-;-;-;-
15090605;Wendemark;-;-;-;-;-;-;-;-;-;-;-
15090610;Werben (Elbe), Hansestadt;513;238;73;105;19;9;6;42;9;12;-
15090615;Windberge;-;-;-;-;-;-;-;-;-;-;-
15090620;Wittenmoor;-;-;-;-;-;-;-;-;-;-;-
15090625;Wulkau;-;-;-;-;-;-;-;-;-;-;-
15090630;Wust b. Schönhausen, Elbe;-;-;-;-;-;-;-;-;-;-;-
15090631;Wust-Fischbeck;494;195;97;72;57;3;20;29;18;3;-
15090635;Zehrental;388;160;62;74;29;6;26;19;3;6;3
15091005;Abtsdorf;-;-;-;-;-;-;-;-;-;-;-
15091010;Annaburg, Stadt;2505;949;555;451;209;89;91;111;23;20;7
15091015;Axien;-;-;-;-;-;-;-;-;-;-;-
15091020;Bad Schmiedeberg, Stadt;3000;994;708;548;216;101;139;194;64;19;17
15091025;Bethau;-;-;-;-;-;-;-;-;-;-;-
15091030;Boßdorf;-;-;-;-;-;-;-;-;-;-;-
15091035;Brandhorst;-;-;-;-;-;-;-;-;-;-;-
15091040;Bräsen;-;-;-;-;-;-;-;-;-;-;-
15091045;Buko;-;-;-;-;-;-;-;-;-;-;-
15091055;Cobbelsdorf;-;-;-;-;-;-;-;-;-;-;-
15091060;Coswig (Anhalt), Stadt;4053;1390;1075;632;289;158;148;247;66;38;10
15091065;Dabrun;-;-;-;-;-;-;-;-;-;-;-
15091070;Dietrichsdorf;-;-;-;-;-;-;-;-;-;-;-
15091080;Düben;-;-;-;-;-;-;-;-;-;-;-
15091085;Elster (Elbe);-;-;-;-;-;-;-;-;-;-;-
15091090;Eutzsch;-;-;-;-;-;-;-;-;-;-;-
15091095;Gadegast;-;-;-;-;-;-;-;-;-;-;-
15091100;Globig-Bleddin;-;-;-;-;-;-;-;-;-;-;-
15091105;Gohrau;-;-;-;-;-;-;-;-;-;-;-
15091110;Gräfenhainichen, Stadt;3687;617;1575;548;252;87;200;239;100;50;19
15091120;Griesen;-;-;-;-;-;-;-;-;-;-;-
15091125;Groß Naundorf;-;-;-;-;-;-;-;-;-;-;-
15091130;Horstdorf;-;-;-;-;-;-;-;-;-;-;-
15091135;Hundeluft;-;-;-;-;-;-;-;-;-;-;-
15091140;Jeber-Bergfrieden;-;-;-;-;-;-;-;-;-;-;-
15091145;Jessen (Elster), Stadt;4615;1265;1002;956;404;191;270;287;139;80;21
15091155;Kakau;-;-;-;-;-;-;-;-;-;-;-
15091160;Kemberg, Stadt;3769;1166;893;808;273;132;199;163;84;41;10
15091165;Klieken;-;-;-;-;-;-;-;-;-;-;-
15091170;Klöden;-;-;-;-;-;-;-;-;-;-;-
15091175;Korgau;-;-;-;-;-;-;-;-;-;-;-
15091180;Köselitz;-;-;-;-;-;-;-;-;-;-;-
15091185;Kropstädt;-;-;-;-;-;-;-;-;-;-;-
15091190;Labrun;-;-;-;-;-;-;-;-;-;-;-
15091195;Lebien;-;-;-;-;-;-;-;-;-;-;-
15091200;Leetza;-;-;-;-;-;-;-;-;-;-;-
15091205;Listerfehrda;-;-;-;-;-;-;-;-;-;-;-
15091210;Meuro b. Lutherstadt Eisleben;-;-;-;-;-;-;-;-;-;-;-
15091215;Mochau b. Lutherstadt Eisleben;-;-;-;-;-;-;-;-;-;-;-
15091220;Möhlau;-;-;-;-;-;-;-;-;-;-;-
15091225;Möllensdorf;-;-;-;-;-;-;-;-;-;-;-
15091230;Mühlanger;-;-;-;-;-;-;-;-;-;-;-
15091235;Naundorf bei Seyda;-;-;-;-;-;-;-;-;-;-;-
15091240;Oranienbaum;-;-;-;-;-;-;-;-;-;-;-
15091241;Oranienbaum-Wörlitz, Stadt;2955;840;735;525;217;84;179;207;108;50;10
15091245;Plossig;-;-;-;-;-;-;-;-;-;-;-
15091250;Prettin;-;-;-;-;-;-;-;-;-;-;-
15091255;Pretzsch (Elbe);-;-;-;-;-;-;-;-;-;-;-
15091260;Priesitz;-;-;-;-;-;-;-;-;-;-;-
