GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14730140;Jesewitz;1370;936;329;-;105
14730150;Krostitz;1791;1139;559;3;90
14730160;Laußig;1998;1166;644;3;185
14730170;Liebschützberg;1496;1004;361;3;128
14730180;Löbnitz;963;656;228;3;76
14730190;Mockrehna;2354;1595;609;6;144
14730200;Mügeln, Stadt;3281;1600;1340;13;328
14730210;Naundorf;1114;711;310;4;89
14730220;Neukyhna;1054;746;214;-;94
14730230;Oschatz, Stadt;8250;2553;4869;-;828
14730240;Pflückuff;-;-;-;-;-
14730250;Rackwitz;2757;1188;1180;6;383
14730260;Schildau, Gneisenaustadt, Stadt;1615;1093;388;28;106
14730270;Schkeuditz, Stadt;9515;3348;4995;16;1156
14730280;Schönwölkau;1189;732;344;6;107
14730290;Sornzig-Ablaß;-;-;-;-;-
14730300;Taucha, Stadt;7858;2836;4107;8;907
14730310;Torgau, Stadt;10246;2700;6702;13;831
14730320;Trossin;723;522;122;17;62
14730330;Wermsdorf;2653;1641;814;3;195
14730340;Wiedemar;1019;553;362;3;101
14730350;Zinna;654;319;280;-;55
14730360;Zschepplin;1508;903;452;22;131
14730370;Zwochau;486;279;182;-;25
15001000;Dessau-Roßlau, Stadt;52475;14616;30480;42;7337
15002000;Halle (Saale), Stadt;140515;19610;104675;65;16165
15003000;Magdeburg, Landeshauptstadt;139574;22507;103810;64;13190
15081005;Ahlum;-;-;-;-;-
15081010;Algenstedt;-;-;-;-;-
15081015;Altensalzwedel;-;-;-;-;-
15081020;Altmersleben;-;-;-;-;-
15081025;Apenburg;-;-;-;-;-
15081026;Apenburg-Winterfeld, Flecken;809;575;155;3;76
15081030;Arendsee (Altmark), Stadt;3446;2001;1089;48;308
15081035;Badel;-;-;-;-;-
15081040;Bandau;-;-;-;-;-
15081045;Beetzendorf;1495;872;497;8;118
15081050;Benkendorf;-;-;-;-;-
15081055;Berge b. Gardelegen;-;-;-;-;-
15081060;Bierstedt;-;-;-;-;-
15081065;Binde;-;-;-;-;-
15081070;Bonese;-;-;-;-;-
15081075;Bornsen;-;-;-;-;-
15081080;Breitenfeld;-;-;-;-;-
15081085;Brunau;-;-;-;-;-
15081090;Chüden;-;-;-;-;-
15081095;Dähre;718;481;177;3;57
15081100;Dannefeld;-;-;-;-;-
15081105;Diesdorf, Flecken;1105;709;312;10;74
15081110;Dönitz;-;-;-;-;-
15081115;Ellenberg, Altmark;-;-;-;-;-
15081120;Engersen;-;-;-;-;-
15081125;Estedt;-;-;-;-;-
15081130;Fleetmark;-;-;-;-;-
15081135;Gardelegen, Hansestadt;11541;5675;4975;13;878
15081140;Gieseritz;-;-;-;-;-
15081145;Güssefeld;-;-;-;-;-
15081150;Hanum;-;-;-;-;-
15081155;Hemstedt;-;-;-;-;-
15081160;Henningen;-;-;-;-;-
15081165;Hohentramm;-;-;-;-;-
15081170;Hottendorf;-;-;-;-;-
15081175;Höwisch;-;-;-;-;-
15081180;Immekath;-;-;-;-;-
15081185;Jahrstedt;-;-;-;-;-
15081190;Jävenitz;-;-;-;-;-
15081195;Jeeben;-;-;-;-;-
15081200;Jeetze;-;-;-;-;-
15081205;Jeggau;-;-;-;-;-
15081210;Jeggeleben;-;-;-;-;-
15081215;Jerchel, Altmark;-;-;-;-;-
15081220;Jeseritz;-;-;-;-;-
15081225;Jübar;794;575;167;-;52
15081230;Kahrstedt;-;-;-;-;-
15081235;Kakerbeck;-;-;-;-;-
15081240;Kalbe (Milde), Stadt;4045;2272;1320;16;437
15081245;Kassieck;-;-;-;-;-
15081250;Kaulitz;-;-;-;-;-
15081255;Kerkau;-;-;-;-;-
15081260;Kläden b. Arendsee, Altmark;-;-;-;-;-
15081265;Klein Gartz;-;-;-;-;-
15081270;Kleinau;-;-;-;-;-
15081275;Kloster Neuendorf;-;-;-;-;-
15081280;Klötze, Stadt;5171;2906;1756;7;502
15081285;Köckte;-;-;-;-;-
15081290;Kuhfelde;534;345;147;3;39
15081295;Kunrau;-;-;-;-;-
15081300;Kusey;-;-;-;-;-
15081305;Lagendorf;-;-;-;-;-
15081310;Langenapel;-;-;-;-;-
15081315;Leppin, Altmark;-;-;-;-;-
15081320;Letzlingen;-;-;-;-;-
15081325;Liesten;-;-;-;-;-
15081330;Lindstedt;-;-;-;-;-
15081335;Lüdelsen;-;-;-;-;-
15081340;Mechau;-;-;-;-;-
15081345;Mehmke;-;-;-;-;-
15081350;Mellin;-;-;-;-;-
15081355;Mieste;-;-;-;-;-
15081360;Miesterhorst;-;-;-;-;-
15081365;Nettgau;-;-;-;-;-
15081370;Neuekrug;-;-;-;-;-
15081375;Neuendorf, Altmark;-;-;-;-;-
15081380;Neuendorf am Damm;-;-;-;-;-
15081385;Neuferchau;-;-;-;-;-
15081390;Neulingen, Altmark;-;-;-;-;-
15081395;Osterwohle;-;-;-;-;-
15081400;Packebusch;-;-;-;-;-
15081405;Peckfitz;-;-;-;-;-
15081410;Potzehne;-;-;-;-;-
15081415;Pretzier;-;-;-;-;-
15081420;Püggen;-;-;-;-;-
15081425;Rademin;-;-;-;-;-
15081430;Riebau;-;-;-;-;-
15081435;Ristedt;-;-;-;-;-
15081440;Rohrberg;528;375;111;3;39
15081445;Roxförde;-;-;-;-;-
15081450;Sachau;-;-;-;-;-
15081455;Salzwedel, Hansestadt;13078;4593;7144;12;1329
15081460;Sanne-Kerkuhn;-;-;-;-;-
15081465;Schenkenhorst, Altmark;-;-;-;-;-
15081470;Schrampe;-;-;-;-;-
15081475;Schwiesau;-;-;-;-;-
15081480;Seebenau;-;-;-;-;-
15081485;Seethen;-;-;-;-;-
15081490;Sichau;-;-;-;-;-
15081495;Siedenlangenbeck;-;-;-;-;-
15081500;Solpke;-;-;-;-;-
15081505;Steimke;-;-;-;-;-
15081510;Steinitz;-;-;-;-;-
15081515;Tangeln;-;-;-;-;-
15081520;Thielbeer;-;-;-;-;-
15081525;Tylsen;-;-;-;-;-
15081530;Valfitz;-;-;-;-;-
15081535;Vienau;-;-;-;-;-
15081540;Vissum;-;-;-;-;-
15081545;Wallstawe;434;284;106;3;41
15081550;Wannefeld;-;-;-;-;-
15081555;Wenze;-;-;-;-;-
15081560;Wernstedt;-;-;-;-;-
15081565;Wieblitz-Eversdorf;-;-;-;-;-
15081570;Wiepke;-;-;-;-;-
15081575;Winkelstedt;-;-;-;-;-
15081580;Winterfeld;-;-;-;-;-
15081585;Zethlingen;-;-;-;-;-
15081590;Zichtau;-;-;-;-;-
15081595;Ziemendorf;-;-;-;-;-
15082005;Aken (Elbe), Stadt;4320;2333;1609;9;369
15082010;Altjeßnitz;-;-;-;-;-
15082015;Bitterfeld-Wolfen, Stadt;27424;6392;17111;13;3908
15082020;Bobbau;-;-;-;-;-
15082025;Bornum;-;-;-;-;-
15082030;Brehna;-;-;-;-;-
15082035;Buhlendorf;-;-;-;-;-
15082040;Burgkemnitz;-;-;-;-;-
15082045;Chörau;-;-;-;-;-
15082050;Deetz b. Stendal;-;-;-;-;-
15082055;Diebzig;-;-;-;-;-
15082060;Dobritz;-;-;-;-;-
15082065;Dornbock;-;-;-;-;-
15082070;Drosa;-;-;-;-;-
15082075;Edderitz;-;-;-;-;-
15082080;Elsnigk;-;-;-;-;-
15082085;Fraßdorf;-;-;-;-;-
15082090;Friedersdorf b. Bitterfeld;-;-;-;-;-
15082095;Gehrden b. Zerbst;-;-;-;-;-
15082100;Glauzig;-;-;-;-;-
15082105;Glebitzsch;-;-;-;-;-
15082110;Gödnitz;-;-;-;-;-
15082115;Görzig b. Köthen, Anh;-;-;-;-;-
15082120;Gossa;-;-;-;-;-
15082125;Grimme;-;-;-;-;-
15082130;Gröbern;-;-;-;-;-
15082135;Gröbzig;-;-;-;-;-
15082140;Großbadegast;-;-;-;-;-
15082145;Großpaschleben;-;-;-;-;-
15082150;Güterglück;-;-;-;-;-
15082155;Hinsdorf;-;-;-;-;-
15082160;Hohenlepte;-;-;-;-;-
15082165;Jeßnitz (Anhalt);-;-;-;-;-
15082170;Jütrichau;-;-;-;-;-
15082175;Kleinpaschleben;-;-;-;-;-
15082180;Köthen (Anhalt), Stadt;15398;4183;10009;18;1188
15082185;Krina;-;-;-;-;-
15082190;Leps;-;-;-;-;-
15082195;Libbesdorf;-;-;-;-;-
15082200;Libehna;-;-;-;-;-
15082205;Lindau;-;-;-;-;-
15082210;Maasdorf;-;-;-;-;-
15082215;Marke;-;-;-;-;-
15082220;Meilendorf;-;-;-;-;-
15082225;Micheln;-;-;-;-;-
15082230;Moritz;-;-;-;-;-
15082235;Mühlbeck;-;-;-;-;-
15082240;Muldenstein;-;-;-;-;-
15082241;Muldestausee;5625;4170;1222;19;214
15082245;Nedlitz b. Zerbst;-;-;-;-;-
15082250;Nutha;-;-;-;-;-
15082255;Osternienburg;-;-;-;-;-
15082256;Osternienburger Land;4272;3056;937;12;267
15082260;Petersroda;-;-;-;-;-
15082265;Piethen;-;-;-;-;-
15082270;Plodda;-;-;-;-;-
15082275;Polenzko;-;-;-;-;-
15082280;Pouch;-;-;-;-;-
15082285;Prosigk;-;-;-;-;-
15082290;Quellendorf;-;-;-;-;-
15082295;Radegast b. Köthen, Anh;-;-;-;-;-
15082300;Raguhn;-;-;-;-;-
15082301;Raguhn-Jeßnitz, Stadt;4616;3087;1290;9;230
15082305;Reppichau;-;-;-;-;-
15082310;Retzau;-;-;-;-;-
15082315;Reuden/Anhalt;-;-;-;-;-
15082320;Reupzig;-;-;-;-;-
15082325;Riesdorf;-;-;-;-;-
15082330;Roitzsch;-;-;-;-;-
15082335;Rösa;-;-;-;-;-
15082340;Sandersdorf-Brehna, Stadt;7905;3897;3397;6;605
15082345;Scheuder;-;-;-;-;-
15082350;Schierau;-;-;-;-;-
15082355;Schlaitz;-;-;-;-;-
15082360;Schortewitz;-;-;-;-;-
15082365;Schwemsal;-;-;-;-;-
15082370;Steutz;-;-;-;-;-
15082375;Straguth;-;-;-;-;-
15082377;Südliches Anhalt, Stadt;6895;4480;1963;3;449
15082380;Thurland;-;-;-;-;-
15082385;Tornau vor der Heide;-;-;-;-;-
15082390;Trebbichau an der Fuhne;-;-;-;-;-
15082395;Trinum;-;-;-;-;-
15082400;Walternienburg;-;-;-;-;-
15082405;Weißandt-Gölzau;-;-;-;-;-
15082410;Wieskau;-;-;-;-;-
15082415;Wulfen;-;-;-;-;-
15082420;Zabitz;-;-;-;-;-
15082425;Zehbitz;-;-;-;-;-
15082430;Zerbst/Anhalt, Stadt;11885;5258;5639;29;959
15082435;Zernitz;-;-;-;-;-
15082440;Zörbig, Stadt;4610;3000;1320;3;287
15083005;Ackendorf;-;-;-;-;-
15083010;Alleringersleben;-;-;-;-;-
15083015;Altbrandsleben;-;-;-;-;-
15083020;Altenhausen;576;409;121;3;43
15083025;Am Großen Bruch;1185;711;336;-;138
15083030;Angern;1011;638;286;7;80
15083035;Ausleben;888;519;282;3;84
15083040;Barleben;4308;2444;1607;130;127
15083045;Barneberg;-;-;-;-;-
15083050;Bartensleben;-;-;-;-;-
15083055;Bebertal;-;-;-;-;-
15083060;Beendorf;436;224;178;3;31
15083065;Behnsdorf;-;-;-;-;-
15083070;Belsdorf;-;-;-;-;-
15083075;Berenbrock;-;-;-;-;-
15083080;Bertingen;-;-;-;-;-
15083085;Böddensell;-;-;-;-;-
15083090;Born;-;-;-;-;-
15083095;Bornstedt b. Haldensleben;-;-;-;-;-
15083100;Bösdorf b. Haldensleben;-;-;-;-;-
15083105;Bottmersdorf;-;-;-;-;-
15083110;Bregenstedt;-;-;-;-;-
15083115;Bülstringen;393;289;94;-;10
15083120;Burgstall;757;541;179;4;33
15083125;Calvörde;1698;1106;500;3;89
15083130;Colbitz;1491;1196;201;21;73
15083135;Cröchern;-;-;-;-;-
15083140;Döhren;-;-;-;-;-
15083145;Dolle;-;-;-;-;-
15083150;Domersleben;-;-;-;-;-
15083155;Dorst;-;-;-;-;-
15083160;Drackenstedt;-;-;-;-;-
15083165;Dreileben;-;-;-;-;-
15083170;Druxberge;-;-;-;-;-
15083175;Eggenstedt;-;-;-;-;-
15083180;Eichenbarleben;-;-;-;-;-
15083185;Eickendorf b. Haldensleben;-;-;-;-;-
15083190;Eilsleben;2008;1068;761;9;170
15083195;Eimersleben;-;-;-;-;-
15083200;Emden;-;-;-;-;-
15083205;Erxleben;1502;946;423;7;126
15083210;Eschenrode;-;-;-;-;-
15083215;Etingen;-;-;-;-;-
15083220;Everingen;-;-;-;-;-
15083225;Farsleben;-;-;-;-;-
15083230;Flechtingen;1300;796;400;6;98
15083235;Glindenberg;-;-;-;-;-
15083240;Grauingen;-;-;-;-;-
15083245;Gröningen, Stadt;1916;1203;539;6;168
15083250;Groß Rodensleben;-;-;-;-;-
15083255;Groß Santersleben;-;-;-;-;-
15083260;Hadmersleben;-;-;-;-;-
15083265;Hakenstedt;-;-;-;-;-
15083270;Haldensleben, Stadt;9490;3406;5440;7;637
15083275;Harbke;878;321;458;3;96
15083280;Heinrichsberg;-;-;-;-;-
15083285;Hermsdorf b. Wolmirstedt;-;-;-;-;-
15083290;Hillersleben;-;-;-;-;-
15083295;Hödingen;-;-;-;-;-
15083298;Hohe Börde;8639;5047;3088;6;498
15083300;Hohendodeleben;-;-;-;-;-
15083305;Hohenwarsleben;-;-;-;-;-
15083310;Hornhausen;-;-;-;-;-
15083315;Hörsingen;-;-;-;-;-
15083320;Hötensleben;2024;1000;810;3;211
15083323;Ingersleben;711;434;221;7;49
15083325;Irxleben;-;-;-;-;-
15083330;Ivenrode;-;-;-;-;-
15083335;Kathendorf;-;-;-;-;-
15083340;Klein Rodensleben;-;-;-;-;-
15083345;Klein Wanzleben, Zuckerdorf;-;-;-;-;-
15083350;Klüden;-;-;-;-;-
15083355;Kroppenstedt, Stadt;729;501;162;-;66
15083360;Loitsche;-;-;-;-;-
15083361;Loitsche-Heinrichsberg;490;327;137;-;26
15083365;Mahlwinkel;-;-;-;-;-
15083370;Mannhausen;-;-;-;-;-
15083375;Marienborn;-;-;-;-;-
15083380;Morsleben;-;-;-;-;-
15083385;Neuenhofe;-;-;-;-;-
15083390;Niedere Börde;3340;2216;908;0;216
15083395;Niederndodeleben;-;-;-;-;-
15083400;Nordgermersleben;-;-;-;-;-
15083405;Ochtmersleben;-;-;-;-;-
15083410;Oebisfelde;-;-;-;-;-
15083411;Oebisfelde-Weferlingen, Stadt;6932;3721;2457;13;741
15083415;Oschersleben (Bode), Stadt;10774;4407;5512;18;837
15083420;Ostingersleben;-;-;-;-;-
15083425;Ovelgünne;-;-;-;-;-
15083430;Peseckendorf;-;-;-;-;-
15083435;Rätzlingen b. Haldensleben;-;-;-;-;-
15083440;Rogätz;1044;699;285;3;57
15083445;Rottmersleben;-;-;-;-;-
15083450;Sandbeiendorf;-;-;-;-;-
15083455;Schackensleben;-;-;-;-;-
15083460;Schermcke;-;-;-;-;-
15083465;Schwanefeld;-;-;-;-;-
15083470;Seehausen;-;-;-;-;-
15083475;Seggerde;-;-;-;-;-
15083480;Siestedt;-;-;-;-;-
15083485;Sommersdorf;761;475;219;-;64
15083490;Sülzetal;4435;2754;1396;9;276
15083495;Süplingen;434;308;100;3;23
15083500;Uhrsleben;-;-;-;-;-
15083505;Ummendorf;447;298;134;-;15
15083510;Velsdorf;-;-;-;-;-
15083515;Völpke;824;343;342;3;136
15083520;Wackersleben;-;-;-;-;-
15083525;Walbeck b. Haldersleben;-;-;-;-;-
15083530;Wanzleben;-;-;-;-;-
15083531;Wanzleben-Börde, Stadt;7414;3920;2813;-;681
15083535;Wefensleben;1245;406;548;-;291
15083540;Weferlingen;-;-;-;-;-
15083545;Wegenstedt;-;-;-;-;-
15083550;Wellen;-;-;-;-;-
15083555;Wenddorf;-;-;-;-;-
15083557;Westheide;772;622;128;-;22
15083560;Wieglitz;-;-;-;-;-
15083565;Wolmirstedt, Stadt;6137;2281;3247;17;592
15083570;Wormsdorf;-;-;-;-;-
15083575;Wulferstedt;-;-;-;-;-
15083580;Zielitz;1065;408;499;-;158
15083585;Zobbenitz;-;-;-;-;-
15084005;Abtlöbnitz;-;-;-;-;-
15084010;Altenroda;-;-;-;-;-
15084012;An der Poststraße;869;578;163;21;107
15084013;Meineweh;471;330;116;-;25
15084015;Bad Bibra, Stadt;1344;944;307;12;81
15084020;Bad Kösen;-;-;-;-;-
15084025;Balgstädt;518;394;94;6;24
15084030;Baumersroda;-;-;-;-;-
15084035;Bergisdorf;-;-;-;-;-
15084040;Billroda;-;-;-;-;-
15084045;Breitenbach b. Zeitz, Elster;-;-;-;-;-
15084050;Bröckau;-;-;-;-;-
15084055;Bucha b. Naumburg, Saale;-;-;-;-;-
15084060;Burgholzhausen;-;-;-;-;-
15084065;Burgscheidungen;-;-;-;-;-
15084070;Burgwerben;-;-;-;-;-
15084075;Burkersroda;-;-;-;-;-
15084080;Casekirchen;-;-;-;-;-
15084085;Crölpa-Löbschütz;-;-;-;-;-
15084090;Dehlitz (Saale);-;-;-;-;-
15084095;Deuben;-;-;-;-;-
15084100;Pirkau;-;-;-;-;-
15084105;Döschwitz;-;-;-;-;-
15084110;Droßdorf;-;-;-;-;-
15084115;Droyßig;1099;575;427;6;91
15084120;Ebersroda;-;-;-;-;-
15084125;Eckartsberga, Stadt;1177;701;393;6;77
15084130;Elsteraue;4709;2553;1786;4;366
15084132;Finne;557;443;91;4;19
15084133;Finneland;561;426;81;6;48
15084135;Freyburg (Unstrut), Stadt;2513;1393;959;15;146
15084140;Geußnitz;-;-;-;-;-
15084145;Gieckau;-;-;-;-;-
15084150;Gleina;613;470;109;3;31
15084155;Goldschau;-;-;-;-;-
15084160;Golzen;-;-;-;-;-
15084165;Görschen;-;-;-;-;-
15084170;Goseck;460;352;80;3;25
15084175;Grana;-;-;-;-;-
15084180;Granschütz;-;-;-;-;-
15084185;Gröben;-;-;-;-;-
15084190;Gröbitz b. Weißenfels;-;-;-;-;-
15084195;Großgörschen;-;-;-;-;-
15084200;Großkorbetha;-;-;-;-;-
15084205;Größnitz;-;-;-;-;-
15084207;Gutenborn;894;616;226;3;49
15084210;Haynsburg;-;-;-;-;-
15084215;Heidegrund;-;-;-;-;-
15084220;Herrengosserstedt;-;-;-;-;-
15084225;Heuckewalde;-;-;-;-;-
15084230;Hirschroda;-;-;-;-;-
15084235;Hohenmölsen, Stadt;5681;2532;2577;3;569
15084240;Janisroda;-;-;-;-;-
15084245;Kahlwinkel;-;-;-;-;-
15084246;Kaiserpfalz;852;615;156;4;77
15084250;Karsdorf;972;378;502;3;89
15084255;Kayna;-;-;-;-;-
15084260;Kirchscheidungen;-;-;-;-;-
15084265;Klosterhäseler;-;-;-;-;-
15084270;Krauschwitz b. Weißenfels;-;-;-;-;-
15084275;Kretzschau;1313;680;525;4;104
15084280;Langendorf b. Weißenfels;-;-;-;-;-
15084282;Lanitz-Hassel-Tal;531;401;88;3;39
15084285;Laucha an der Unstrut, Stadt;1513;942;450;7;114
15084290;Leislau;-;-;-;-;-
15084295;Leißling;-;-;-;-;-
15084300;Löbitz;-;-;-;-;-
15084305;Lossa;-;-;-;-;-
15084310;Luckenau;-;-;-;-;-
15084315;Lützen, Stadt;4499;2529;1645;6;316
15084320;Markwerben;-;-;-;-;-
15084325;Meineweh;-;-;-;-;-
15084330;Memleben;-;-;-;-;-
15084335;Mertendorf;796;552;192;-;52
15084340;Molau;-;-;-;-;-
15084341;Molauer Land;588;356;130;3;99
15084345;Möllern;-;-;-;-;-
15084350;Muschwitz;-;-;-;-;-
15084355;Naumburg (Saale), Stadt;17450;5779;10206;62;1403
15084360;Nebra (Unstrut), Stadt;1916;926;759;3;228
15084365;Nessa;-;-;-;-;-
15084370;Nonnewitz;-;-;-;-;-
15084375;Osterfeld, Stadt;1303;792;413;-;98
15084380;Pödelist;-;-;-;-;-
15084385;Poserna;-;-;-;-;-
15084390;Pretzsch;-;-;-;-;-
15084395;Prießnitz;-;-;-;-;-
15084400;Prittitz;-;-;-;-;-
15084405;Reichardtswerben;-;-;-;-;-
15084410;Reinsdorf b. Naumburg, Saale;-;-;-;-;-
15084415;Rippach;-;-;-;-;-
15084420;Röcken;-;-;-;-;-
15084425;Saubach;-;-;-;-;-
15084430;Schellbach;-;-;-;-;-
15084435;Schkortleben;-;-;-;-;-
15084440;Schleberoda;-;-;-;-;-
15084442;Schnaudertal;450;340;68;6;36
15084445;Schönburg;486;318;149;3;16
15084450;Sössen;-;-;-;-;-
15084455;Starsiedel;-;-;-;-;-
15084460;Steinburg b. Naumburg, Saale;-;-;-;-;-
15084465;Storkau;-;-;-;-;-
15084470;Stößen, Stadt;455;293;146;-;16
15084475;Tagewerben;-;-;-;-;-
15084480;Taucha b. Weißenfels;-;-;-;-;-
15084485;Taugwitz;-;-;-;-;-
15084490;Teuchern, Stadt;4583;2513;1726;9;335
15084495;Thalwinkel;-;-;-;-;-
15084500;Theißen;-;-;-;-;-
15084505;Trebnitz b. Weißenfels;-;-;-;-;-
15084510;Tromsdorf;-;-;-;-;-
15084515;Uichteritz;-;-;-;-;-
15084520;Unterkaka;-;-;-;-;-
15084525;Utenbach;-;-;-;-;-
15084530;Waldau;-;-;-;-;-
15084535;Wangen b. Naumburg, Saale;-;-;-;-;-
15084540;Weischütz;-;-;-;-;-
15084545;Weißenborn b. Droyßig;-;-;-;-;-
15084550;Weißenfels, Stadt;23138;7648;12536;25;2929
15084555;Wengelsdorf;-;-;-;-;-
15084560;Wethau;430;342;68;-;20
15084565;Wetterzeube;909;616;236;-;57
15084570;Wischroda;-;-;-;-;-
15084575;Wittgendorf b. Zeitz;-;-;-;-;-
15084580;Wohlmirstedt;-;-;-;-;-
15084585;Würchwitz;-;-;-;-;-
15084590;Zeitz, Stadt;19241;4044;12391;22;2784
15084595;Zeuchfeld;-;-;-;-;-
15084600;Zorbau;-;-;-;-;-
15085005;Abbenrode;-;-;-;-;-
15085010;Allrode;-;-;-;-;-
15085015;Altenbrak;-;-;-;-;-
15085020;Aspenstedt;-;-;-;-;-
15085025;Athenstedt;-;-;-;-;-
15085030;Aue-Fallstein;-;-;-;-;-
15085035;Bad Suderode;-;-;-;-;-
15085040;Ballenstedt, Stadt;4143;2034;1702;12;395
15085045;Benneckenstein (Harz);-;-;-;-;-
15085050;Berßel;-;-;-;-;-
15085055;Blankenburg (Harz), Stadt;11981;4495;6217;30;1239
15085060;Bühne;-;-;-;-;-
15085065;Cattenstedt;-;-;-;-;-
15085070;Dankerode;-;-;-;-;-
15085075;Danstedt;-;-;-;-;-
15085080;Darlingerode;-;-;-;-;-
15085085;Derenburg;-;-;-;-;-
15085090;Ditfurt;796;587;164;4;41
15085095;Drübeck;-;-;-;-;-
15085100;Elbingerode (Harz);-;-;-;-;-
15085105;Elend;-;-;-;-;-
15085110;Falkenstein/Harz, Stadt;2993;2013;737;16;227
15085115;Friedrichsbrunn;-;-;-;-;-
15085120;Gernrode, Harz;-;-;-;-;-
15085125;Groß Quenstedt;462;336;105;-;21
15085130;Güntersberge;-;-;-;-;-
15085135;Halberstadt, Stadt;24004;6734;14792;34;2444
15085140;Harsleben;1019;670;285;3;61
15085145;Harzgerode, Stadt;4476;2624;1408;29;415
15085150;Hasselfelde;-;-;-;-;-
15085155;Hausneindorf;-;-;-;-;-
15085160;Hedersleben;756;467;236;-;53
15085165;Heimburg;-;-;-;-;-
15085170;Heteborn;-;-;-;-;-
15085175;Heudeber;-;-;-;-;-
15085180;Hüttenrode;-;-;-;-;-
15085185;Huy;3951;2645;929;21;356
15085190;Ilsenburg (Harz), Stadt;4870;2521;2098;50;201
15085195;Königerode;-;-;-;-;-
15085200;Langeln, Harz;-;-;-;-;-
15085205;Langenstein;-;-;-;-;-
15085210;Lüttgenrode;-;-;-;-;-
15085215;Neinstedt;-;-;-;-;-
15085220;Neudorf;-;-;-;-;-
15085225;Nienhagen b. Oschersleben;-;-;-;-;-
15085227;Nordharz;3764;2492;1081;13;178
15085228;Oberharz am Brocken, Stadt;6013;3186;2234;68;525
15085230;Osterwieck, Stadt;6029;3403;2015;21;587
15085235;Quedlinburg, Stadt;15445;4927;9097;80;1341
15085240;Radisleben;-;-;-;-;-
15085245;Reddeber;-;-;-;-;-
15085250;Rhoden;-;-;-;-;-
15085255;Rieder;-;-;-;-;-
15085260;Sargstedt;-;-;-;-;-
15085265;Schauen;-;-;-;-;-
15085270;Schielo;-;-;-;-;-
15085275;Schierke;-;-;-;-;-
15085280;Schmatzfeld;-;-;-;-;-
15085285;Schwanebeck, Stadt;1281;840;313;9;119
15085287;Selke-Aue;741;541;140;10;50
15085290;Siptenfelde;-;-;-;-;-
15085295;Sorge;-;-;-;-;-
15085300;Stapelburg;-;-;-;-;-
15085305;Stecklenberg;-;-;-;-;-
15085310;Stiege;-;-;-;-;-
15085315;Straßberg b. Quedlinburg;-;-;-;-;-
15085320;Ströbeck;-;-;-;-;-
15085325;Tanne;-;-;-;-;-
15085330;Thale, Stadt;10238;4424;4638;61;1115
15085335;Timmenrode;-;-;-;-;-
15085340;Treseburg;-;-;-;-;-
15085345;Veckenstedt;-;-;-;-;-
15085350;Wasserleben;-;-;-;-;-
15085355;Weddersleben;-;-;-;-;-
15085360;Wedderstedt;-;-;-;-;-
15085365;Wegeleben, Stadt;1399;887;396;3;113
15085370;Wernigerode, Stadt;18879;5765;12019;140;955
15085375;Westerhausen;-;-;-;-;-
15085380;Wienrode;-;-;-;-;-
15085385;Wülperode;-;-;-;-;-
15086005;Biederitz;4108;2207;1630;-;271
15086010;Brettin;-;-;-;-;-
15086015;Burg, Stadt;13288;4219;7243;30;1796
15086020;Demsin;-;-;-;-;-
15086025;Dörnitz;-;-;-;-;-
15086030;Drewitz b. Burg b. Magdeburg;-;-;-;-;-
15086035;Elbe-Parey;3536;2178;1097;6;255
15086040;Genthin;8265;3381;3952;7;925
15086045;Gerwisch;-;-;-;-;-
15086050;Gladau;-;-;-;-;-
15086055;Gommern, Stadt;5638;2895;2184;51;508
15086060;Grabow;-;-;-;-;-
15086065;Gübs;-;-;-;-;-
15086070;Hobeck;-;-;-;-;-
15086075;Hohenwarthe;-;-;-;-;-
15086080;Jerichow, Stadt;3631;2449;908;24;250
15086085;Kade;-;-;-;-;-
15086090;Karow b. Genthin;-;-;-;-;-
15086095;Klitsche;-;-;-;-;-
15086100;Königsborn;-;-;-;-;-
15086105;Körbelitz;-;-;-;-;-
15086110;Krüssau;-;-;-;-;-
15086115;Küsel;-;-;-;-;-
15086120;Loburg;-;-;-;-;-
15086125;Lostau;-;-;-;-;-
15086130;Lübs b. Zerbst;-;-;-;-;-
15086135;Magdeburgerforth;-;-;-;-;-
15086140;Möckern, Stadt;6806;4018;2250;25;513
15086145;Möser;3771;2503;1075;20;173
15086150;Nielebock;-;-;-;-;-
15086155;Paplitz b. Genthin;-;-;-;-;-
15086160;Pietzpuhl;-;-;-;-;-
15086170;Redekin;-;-;-;-;-
15086175;Reesdorf b. Burg b. Magdeburg;-;-;-;-;-
15086180;Reesen;-;-;-;-;-
15086185;Rietzel;-;-;-;-;-
